CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_male,p_female,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Wt_accessibility_Initial_Vacc,accessibility_Pharmacy10,accessibility_10,Index22_rel,AGEDEP22,ED_LOW22,EDHIGH22,UNEMPM22,UNEMPF22,p_age_12to17_females,p_age_12to17_males,p_age_18to54_females,p_age_18to54_males,p_age_55to64_females,p_age_55to64_males,p_age_65to70_females,p_age_65to70_males,p_age_71plus_females,p_age_71plus_males
BANTRY-WEST CORK,0.093904531,0.441467353,0.19103845,0.156423453,0.117166213,0.497779796,0.502220204,0.046902025,0.154847899,0.31305321,0.146708719,0.191575949,0.146912199,0.004108571,0.014292583,0.104069234,0.338563748,0.538965864,4.470947051,13.97163625,11.90430726,-0.379022086,39.80441115,12.18582929,36.18263381,6.519940427,6.778276848,0.044353618,0.049550913,0.223332324,0.218135029,0.097234837,0.093803613,0.075133717,0.081289737,0.062165708,0.055000505
BELMULLET,0.088393616,0.423174993,0.173009727,0.178298234,0.13712343,0.498536217,0.501463783,0.083029988,0.266770671,0.31183914,0.114231236,0.137978852,0.086150113,0.005621639,0.022079192,0.1480365,0.345934496,0.478328173,0.006895205,9.765061839,6.947045871,-10.42172813,42.55302373,22.64870932,26.64421998,12.81077348,8.590774439,0.044668996,0.04372462,0.213806781,0.209368212,0.086127113,0.086882614,0.085749363,0.092548871,0.071111531,0.066011899
BIRR,0.106497017,0.506058911,0.157485086,0.131991051,0.097967934,0.502843028,0.497156972,0.063569682,0.166259169,0.351419974,0.137577581,0.167951853,0.113221742,0.004180537,0.017496323,0.100719981,0.33889448,0.538708678,1.125006443,27.68336995,7.310240329,-4.993219911,37.96104281,13.99129837,30.91939547,9.88422576,9.02461258,0.048890753,0.057606264,0.253309098,0.252749814,0.076482103,0.081002983,0.067719985,0.064271066,0.050755034,0.047212901
BLACKROCK,0.091305795,0.519655338,0.153877445,0.112273954,0.122887467,0.47017492,0.52982508,0.009447629,0.02916168,0.172702652,0.052591799,0.334697991,0.401398249,0.002075829,0.009890714,0.068868673,0.270712498,0.648452286,0.579629534,35.2530677,11.83941044,10.77832433,35.65344224,2.818909225,73.12149361,5.562803938,5.088383838,0.042860841,0.048444954,0.268444214,0.251211124,0.084316408,0.069561037,0.06046374,0.051810214,0.073739876,0.049147591
BLANCHARDSTOWN-MULHUDDART,0.136427332,0.696316562,0.085679968,0.049713066,0.031863072,0.487888696,0.512111304,0.039661639,0.090415769,0.311627165,0.161679036,0.220892187,0.175724204,0.003433476,0.013962804,0.08,0.330071531,0.572532189,1.155453713,68.80978905,21.69083331,0.200666126,30.10094448,8.583464982,42.53291206,9.947316725,11.05944197,0.066662218,0.069765114,0.35806753,0.338249032,0.042372881,0.043307087,0.027025224,0.022687842,0.017983451,0.013879621
BORRIS-IN-OSSORY-MOUNTMELLICK,0.118837221,0.527693273,0.152542373,0.115843353,0.08508378,0.491960017,0.508039983,0.049807692,0.169038462,0.371730769,0.138846154,0.166730769,0.103846154,0.003380636,0.016392154,0.098981878,0.320059751,0.561185581,1.015214017,16.44641038,8.753510983,-3.713547351,36.7079994,13.47542925,30.1598579,7.765151515,8.619777895,0.059491043,0.059346178,0.26988266,0.257810614,0.075281279,0.077261094,0.056883481,0.058959873,0.046501521,0.038582259
BOYLE,0.10167763,0.474427617,0.167661007,0.148131151,0.108102595,0.497985824,0.502014176,0.05880545,0.146911177,0.342075607,0.145374449,0.177748182,0.129085135,0.004408492,0.018318781,0.114021572,0.338169834,0.525081322,3.104215705,9.533519795,9.870628082,-4.025164819,40.23176774,12.65838744,34.29994326,10.26955515,9.428923583,0.050277905,0.051399725,0.239355464,0.235072153,0.083065626,0.08459538,0.072255367,0.075875784,0.057059813,0.051042782
BRAY EAST,0.085236654,0.526141992,0.146326362,0.129334067,0.112960925,0.479980737,0.520019263,0.044406378,0.125708262,0.269996047,0.130056661,0.22124127,0.208591382,0.004691729,0.017203008,0.107969925,0.342015038,0.528120301,0.048108562,2.67501386,1.37640885,-0.533499245,36.50157942,11.14756929,44.50392885,10.71588367,8.021390374,0.039075399,0.046161255,0.270638415,0.255503577,0.076362135,0.069964227,0.070583379,0.058750688,0.063359934,0.049600991
BRAY WEST,0.112948023,0.536106335,0.168562359,0.10864965,0.073733633,0.470440418,0.529559582,0.032904884,0.099614396,0.291131105,0.126478149,0.238688946,0.211182519,0.003545903,0.012964707,0.085932739,0.300404455,0.597152197,0.848560911,13.76772907,6.146940447,2.47902589,33.41516924,8.50660066,46.40264026,7.92399434,7.995666306,0.057267557,0.055680466,0.28666843,0.249437905,0.086893268,0.081669091,0.057532072,0.051117577,0.041198254,0.032535379
BUNCRANA,0.131118979,0.519923565,0.150621031,0.111335919,0.087000506,0.495082336,0.504917664,0.073352627,0.210040071,0.276046305,0.127337489,0.182769368,0.130454141,0.00389015,0.015421664,0.106793868,0.313157042,0.560737276,0.171762544,25.64392159,2.069081079,-5.75458539,37.24025113,17.8854935,33.12258518,11.0453992,9.667738478,0.064744562,0.066374417,0.26257517,0.257348395,0.076322149,0.074298882,0.05597707,0.055358849,0.045298713,0.041701793
