CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood
CALLAN-THOMASTOWN,0.118676677616143,0.503003284842797,0.16316283435007,0.123510089160019,0.0916471140309714,0.04047233596800304,0.12132177887820209,0.31692219788591564,0.13398723931054185,0.22864489096276544,0.15865155699457195,0.00342186102578061,0.01244313100283859,0.08484659952560564,0.30718979663257767,0.5920986118131975
CAPPAMORE-KILMALLOCK,0.118948161336712,0.508594124494967,0.146750667671027,0.131856467849072,0.093850578648223,0.04036632617118704,0.14779852060584714,0.3499823881648468,0.1385699189855583,0.19147587178584008,0.13180697428672067,0.00366825242161976,0.01455837679830343,0.09855562560898722,0.3271909210752565,0.5560268240958331
CARLOW,0.106129543479372,0.585041664536578,0.132559685087674,0.0984101017330402,0.0778590051633352,0.03469721767594108,0.1310420076377523,0.3105291871249318,0.16442989634478997,0.2078559738134206,0.1514457174031642,0.00493250259605399,0.02102803738317757,0.11197646244375216,0.3428521979923849,0.5192107995846313
CARNDONAGH,0.126100129851392,0.485283508873178,0.148391285528784,0.139013129418554,0.101211946328091,0.08201676054403077,0.2453633740898475,0.2705041901360077,0.1243302651463113,0.1645830471218574,0.11320236296194532,0.00379185625947964,0.01685917629214794,0.10745537276863844,0.32936646832341615,0.5425271263563178
CARRICK-ON-SHANNON,0.107117617364967,0.526299848561333,0.142655224634023,0.128319030792529,0.0956082786471479,0.04763860369609856,0.11806981519507188,0.31129363449691994,0.1492813141683778,0.20944558521560577,0.16427104722792607,0.00251593425025159,0.01828245555182824,0.1101140556860114,0.3223750419322375,0.5467125125796712
CARRICK-ON-SUIR,0.113040243070627,0.493024121039251,0.167979165374837,0.128170149438829,0.0977863210764556,0.06037392884964944,0.16619059984419632,0.3840560893274474,0.13412100753051157,0.16294468969098935,0.09231368475720592,0.00601160862354892,0.02026326699834162,0.10867537313432836,0.3169568822553897,0.5480928689883914
CARRICKMACROSS-CASTLEBLAYNEY,0.119529827272226,0.549528171734452,0.137078527675073,0.109044754704487,0.084818718613763,0.07652338214454417,0.15033065658951347,0.3194378837978271,0.1461974492205952,0.1959140292867265,0.11159659896079356,0.00327839403601742,0.01446086136435083,0.09336686576548256,0.31337854223739164,0.5755153365967576
CARRIGALINE,0.123528633778601,0.566161883348763,0.148293876471366,0.100052903055151,0.0619627033461182,0.0186677146787188,0.06556625401192114,0.29960044540512215,0.124975437217528,0.26246151830746056,0.22872863037924937,0.00230965066533686,0.00986850738825752,0.06548384556835779,0.28962494422718565,0.6327130521508622
CASHEL-TIPPERARY,0.107607000519841,0.514338936059608,0.15638537515162,0.124761739733148,0.0969069485357824,0.04961967097116575,0.14682469485229083,0.38758181496550503,0.13205377675570493,0.17495135326375377,0.10896868919157968,0.00349953099069196,0.01724511147990475,0.10365105707482504,0.3300743199365034,0.5455299805180749
CASTLEBAR,0.103808929128942,0.513307836403372,0.161098969715891,0.129995316890415,0.09178894786138,0.04477844404641383,0.12335487890351218,0.33190561482750564,0.12794953664044856,0.21454715364846977,0.15746437193365004,0.00270993753924452,0.01609438514161076,0.09484781387355828,0.3282990184738425,0.5580488449717439
CASTLECOMER,0.11237727018365,0.507198453477133,0.163249732919571,0.124027064150176,0.0931474792694714,0.0479155672823219,0.15356200527704486,0.3249604221635884,0.13319261213720315,0.207598944591029,0.13277044854881268,0.00351420323808726,0.01342927665983349,0.08739488767100365,0.31297326695393884,0.5826883654771368
CASTLEISLAND,0.107682792743266,0.501305662451897,0.160940076965366,0.137575590984057,0.0924958768554151,0.0493425703379047,0.1696592676374947,0.33634949809133324,0.14562420472218296,0.18535274989396297,0.11367170931712144,0.00320586214792763,0.01150675520952599,0.08959239752690634,0.3276849095488894,0.5680100755667506
CASTLEKNOCK,0.102601745371503,0.58839681374548,0.131147540983607,0.111845145855422,0.0660087540439877,0.02518189793074978,0.07033386655658187,0.2577016357913205,0.09081995975024512,0.2769492749883895,0.27901336498271323,0.0024297749619638,0.01208075027817517,0.07386970047914254,0.29940731657469855,0.61221245770602
CAVAN-BELTURBET,0.109843742755135,0.541011730885149,0.145314601010804,0.118143459915612,0.0856864654333009,0.06892568348093954,0.1547939930689257,0.2945706584520601,0.17568348093954564,0.18078552175587215,0.1252406623026569,0.00421190927006453,0.01568839599675412,0.105220449012713,0.32524440666177207,0.5496348390586963
CELBRIDGE,0.11703628463405,0.580046272783703,0.153828790700299,0.103662321539417,0.0454263303425315,0.02972651605231866,0.06810074586531185,0.28623932547832664,0.11771700356718191,0.26959247648902823,0.22862393254783267,0.00218888230197455,0.01012358064663231,0.07793333029321903,0.31269095717998996,0.5970632495781841
CLANE,0.12660123107636,0.577274995840958,0.143154217268341,0.0942438862086175,0.0587256696057228,0.04472134505419476,0.12947000085346078,0.3308867457540326,0.13518818810275668,0.2054280105829137,0.15430570965264143,0.00286745606045272,0.01315656310090071,0.08379718651958304,0.3169382316229801,0.5832405626960834
CLAREMORRIS,0.106487619210538,0.510156951631527,0.15169139973485,0.126673224137194,0.104990805285891,0.04870184965212965,0.14449346682504666,0.37060919735279146,0.1292211097912778,0.18080773799423044,0.12616663838452402,0.00347750489024125,0.01401869158878504,0.10008693762225604,0.34662754473665147,0.5357893211620662
CLONDALKIN,0.111828815123326,0.610993341147717,0.124872184951493,0.0942215128313839,0.0580841459460808,0.04345300950369588,0.13643083421330518,0.3542766631467793,0.159662090813094,0.17486800422386484,0.13130939809926082,0.00417000126363674,0.01665894444210437,0.09740533254707048,0.33435828313887367,0.5474074386083148
