CSO_LEA,Census Year,very_bad,bad,fair,good,very_good,population,p_health_very_bad,p_health_bad,p_health_fair,p_health_good,p_health_very_good
KILMUCKRIDGE,2022,58,264,1726,5523,10034,17605,0.003294518602669696,0.014995739846634479,0.09804032945186027,0.3137176938369781,0.5699517182618574
KILRUSH,2022,74,354,2317,7440,11080,21265,0.003479896543616271,0.016647072654596754,0.10895838231836351,0.34987067952033857,0.5210439689630849
KIMMAGE-RATHMINES,2022,215,903,5200,16790,31902,55010,0.00390838029449191,0.016415197236866023,0.09452826758771132,0.30521723323032174,0.579930921650609
KINNEGAD,2022,67,330,2098,7181,12502,22178,0.0030210118135088827,0.014879610424745244,0.09459825051853188,0.32378934078816846,0.5637117864550455
LAYTOWN-BETTYSTOWN,2022,117,509,3079,12255,22950,38910,0.0030069390902081727,0.013081470059110768,0.0791313287072732,0.31495759444872784,0.5898226676946801
LEIXLIP,2022,45,212,1329,4960,9597,16143,0.0027875859505668093,0.013132627144892522,0.08232670507340643,0.30725391810691943,0.5944991637242149
LETTERKENNY,2022,140,508,3001,9635,17111,30395,0.004606020727093272,0.016713275209738445,0.09873334430004935,0.3169929264681691,0.5629544332949499
LIFFORD-STRANORLAR,2022,138,501,3070,8585,13471,25765,0.005356103240830584,0.01944498350475451,0.11915389093731807,0.3332039588589171,0.5228410634581797
LIMERICK CITY EAST,2022,136,606,3301,11163,19404,34610,0.003929500144466917,0.017509390349609938,0.09537705865356834,0.3225368390638544,0.5606472117885004
LIMERICK CITY NORTH,2022,175,772,3902,11122,15423,31394,0.00557431356310123,0.024590686118366567,0.12429126584697713,0.3542715168503536,0.4912722176212015
LIMERICK CITY WEST,2022,136,626,3236,11006,18594,33598,0.00404785999166617,0.01863206143222811,0.09631525686052742,0.32757902256086674,0.5534257991547116
LISMORE,2022,41,133,987,3676,6208,11045,0.0037120869171570845,0.012041647804436397,0.08936170212765958,0.3328202806699864,0.5620642824807606
LISTOWEL,2022,95,455,2943,9795,15094,28382,0.003347191882178846,0.016031287435698684,0.10369248115002466,0.3451130998520189,0.5318159396800789
LONGFORD,2022,89,362,1897,5321,7782,15451,0.005760144974435312,0.023428904278040258,0.12277522490453692,0.34437900459517184,0.5036567212478157
LOUGHREA,2022,65,304,2324,7698,13615,24006,0.002707656419228526,0.0126635007914688,0.0968091310505707,0.32066983254186454,0.5671498791968674
LUCAN,2022,115,580,3471,16302,31979,52447,0.002192689762998837,0.011058783152515872,0.0661810971075562,0.3108280740557134,0.6097393559212158
MACROOM,2022,74,340,2594,11244,24317,38569,0.0019186393217350722,0.008815369856620603,0.06725608649433483,0.2915294666701237,0.6304804376571859
MALLOW,2022,73,391,2726,9479,17353,30022,0.00243155019652255,0.013023782559456399,0.09080007994137633,0.31573512757311306,0.5780094597295317
MANORHAMILTON,2022,26,188,1226,3716,6112,11268,0.0023074192403265887,0.01668441604543841,0.10880369187078452,0.32978345757898475,0.5424210152644657
MAYNOOTH,2022,59,320,2235,9431,20930,32975,0.0017892342683851403,0.009704321455648219,0.06777862016679302,0.28600454890068233,0.6347232752084913
MIDLETON,2022,147,547,3918,14656,27574,46842,0.00313820929934674,0.011677554331582768,0.08364288459075189,0.312881601981128,0.5886597497971906
MILFORD,2022,49,180,1333,4520,7678,13760,0.003561046511627907,0.01308139534883721,0.096875,0.32848837209302323,0.5579941860465116
MOATE,2022,61,239,1702,6036,11006,19044,0.0032031085906322203,0.012549884478050829,0.0893719806763285,0.31695022054190297,0.5779248057130855
MONAGHAN,2022,62,274,2041,7184,12797,22358,0.002773056624027194,0.012255121209410502,0.09128723499418552,0.3213167546292155,0.5723678325431613
MUINEBEAG,2022,45,220,1550,5000,9241,16056,0.002802690582959641,0.013702042850024913,0.09653712007972097,0.31141006477329347,0.575548081714001
MULLINGAR,2022,68,387,2482,8474,14541,25952,0.0026202219482120838,0.014912145499383477,0.09563810110974107,0.32652589395807646,0.5603036374845869
NAAS,2022,109,483,3132,13290,27345,44359,0.0024572240131653105,0.010888433012466467,0.0706057395342546,0.29960098288960524,0.6164476205505084
NAVAN,2022,147,514,3223,12078,21413,37375,0.003933110367892977,0.013752508361204013,0.08623411371237458,0.3231571906354515,0.5729230769230769
NENAGH,2022,87,346,2241,7381,12179,22234,0.003912926149140955,0.015561752271296213,0.10079158046235495,0.33196905640010793,0.5477646847170999
NEW ROSS,2022,88,464,2869,9116,15909,28446,0.0030935808197989174,0.016311607958939746,0.10085776559094424,0.32046684946916965,0.5592701961611475
NEWBRIDGE,2022,104,530,3028,11030,21145,35837,0.0029020286296285963,0.014789184362530346,0.08449367971649413,0.30778245946926364,0.5900326478220833
NEWCASTLE WEST,2022,78,370,2743,9647,15140,27978,0.0027879047823289728,0.013224676531560512,0.09804131817856887,0.3448066337836872,0.5411394667238545
NEWPORT,2022,64,248,1413,4917,10084,16726,0.003826378093985412,0.014827215114193472,0.08447925385627167,0.293973454501973,0.6028936984335764
NORTH INNER CITY,2022,257,1163,5400,19173,28962,54955,0.004676553543808571,0.021162769538713492,0.0982622145391684,0.34888545173323626,0.5270130106450732
ONGAR,2022,94,439,2940,13083,23708,40264,0.002334591694814226,0.01090303993641963,0.07301808066759388,0.32493045897079276,0.5888138287303795
PALMERSTOWN-FONTHILL,2022,120,493,2311,6889,10355,20168,0.005950019833399445,0.024444664815549386,0.11458746529155098,0.3415807219357398,0.5134371281237604
PEMBROKE,2022,114,436,2638,10953,26319,40460,0.0028175976272862085,0.010776075135936728,0.06520019772614928,0.2707118141374197,0.6504943153732081
PILTOWN,2022,74,247,1912,6821,12940,21994,0.0033645539692643447,0.011230335546058016,0.08693279985450578,0.3101300354642175,0.5883422751659544
PORTLAOISE,2022,115,539,3012,10614,17814,32094,0.0035832242786813734,0.016794416401819653,0.09384931762946346,0.3307160216862965,0.555057020003739
PORTLAW-KILMACTHOMAS,2022,46,216,1514,5505,10624,17905,0.0025691147724099415,0.012063669366098855,0.08455738620497068,0.30745601787210275,0.5933538117844177
RATHFARNHAM-TEMPLEOGUE,2022,135,648,4213,15350,31287,51633,0.0026146069374237404,0.012550113299633955,0.08159510390641644,0.2972904925144772,0.6059496833420487
RATOATH,2022,65,342,2379,10686,24109,37581,0.0017295974029429765,0.009100343258561508,0.06330326494771293,0.28434581304382534,0.6415209813469572
ROSCOMMON,2022,93,418,2490,7700,12502,23203,0.004008102400551653,0.01801491186484506,0.1073137094341249,0.33185363961556696,0.5388096366849114
ROSCREA-TEMPLEMORE,2022,66,267,1698,5433,9101,16565,0.003984304255961364,0.016118321762752793,0.10250528222155146,0.3279806821611832,0.5494114095985512
ROSSLARE,2022,74,368,2203,7276,12354,22275,0.0033221099887766553,0.016520763187429854,0.09890011223344557,0.32664421997755333,0.5546127946127946
RUSH-LUSK,2022,92,457,2907,11559,23571,38586,0.0023842844555019955,0.011843673871352304,0.07533820556678589,0.299564608925517,0.6108692271808428
SHANNON,2022,100,497,2822,9963,16893,30275,0.0033030553261767133,0.016416184971098265,0.09321222130470685,0.32908340214698595,0.5579851362510322
SKIBBEREEN-WEST CORK,2022,108,393,2789,9748,18080,31118,0.0034706600681277716,0.012629346359020502,0.08962658268526255,0.31325920688990294,0.5810142039976862
SLIGO-DRUMCLIFF,2022,51,203,1456,5344,10997,18051,0.002825328236662789,0.011245914353775414,0.08066035122707883,0.29605008032795965,0.6092183258545233
SLIGO-STRANDHILL,2022,95,451,2478,6967,10835,20826,0.004561605685201191,0.021655622779218286,0.11898588303082686,0.3345337558820705,0.5202631326226832
SOUTH EAST INNER CITY,2022,130,549,2990,10766,19868,34303,0.003789755998017666,0.01600443109932076,0.08716438795440631,0.3138501005742938,0.5791913243739615
SOUTH WEST INNER CITY,2022,150,777,3696,12104,20044,36771,0.004079301623562046,0.0211307824100514,0.10051399200456881,0.32917244567730003,0.5451034782845177
