CSO_LEA,Census Year,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate
CARRICK-ON-SHANNON,2022,232,575,1516,727,1020,800,4870,0.04763860369609856,0.11806981519507187,0.31129363449691994,0.1492813141683778,0.20944558521560575,0.16427104722792607
CARRICK-ON-SUIR,2022,465,1280,2958,1033,1255,711,7702,0.06037392884964944,0.16619059984419632,0.3840560893274474,0.13412100753051157,0.16294468969098935,0.09231368475720592
CARRICKMACROSS-CASTLEBLAYNEY,2022,648,1273,2705,1238,1659,945,8468,0.07652338214454417,0.15033065658951347,0.3194378837978271,0.1461974492205952,0.1959140292867265,0.11159659896079357
CARRIGALINE,2022,285,1001,4574,1908,4007,3492,15267,0.018667714678718805,0.06556625401192114,0.29960044540512215,0.124975437217528,0.26246151830746056,0.22872863037924937
CASHEL-TIPPERARY,2022,561,1660,4382,1493,1978,1232,11306,0.04961967097116575,0.14682469485229083,0.38758181496550503,0.13205377675570493,0.17495135326375377,0.10896868919157969
CASTLEBAR,2022,575,1584,4262,1643,2755,2022,12841,0.04477844404641383,0.12335487890351218,0.33190561482750564,0.12794953664044856,0.21454715364846974,0.15746437193365004
CASTLECOMER,2022,454,1455,3079,1262,1967,1258,9475,0.0479155672823219,0.15356200527704486,0.3249604221635884,0.13319261213720315,0.207598944591029,0.13277044854881268
CASTLEISLAND,2022,349,1200,2379,1030,1311,804,7073,0.049342570337904706,0.1696592676374947,0.33634949809133324,0.14562420472218296,0.18535274989396297,0.11367170931712145
CASTLEKNOCK,2022,488,1363,4994,1760,5367,5407,19379,0.02518189793074978,0.07033386655658187,0.2577016357913205,0.09081995975024511,0.2769492749883895,0.27901336498271323
CAVAN-BELTURBET,2022,716,1608,3060,1825,1878,1301,10388,0.06892568348093954,0.1547939930689257,0.2945706584520601,0.17568348093954564,0.18078552175587215,0.1252406623026569
CELBRIDGE,2022,275,630,2648,1089,2494,2115,9251,0.029726516052318668,0.06810074586531185,0.28623932547832664,0.11771700356718193,0.26959247648902823,0.22862393254783267
CLANE,2022,524,1517,3877,1584,2407,1808,11717,0.04472134505419476,0.12947000085346078,0.3308867457540326,0.13518818810275668,0.2054280105829137,0.15430570965264145
CLAREMORRIS,2022,574,1703,4368,1523,2131,1487,11786,0.04870184965212965,0.14449346682504666,0.37060919735279146,0.1292211097912778,0.18080773799423044,0.12616663838452402
CLONDALKIN,2022,823,2584,6710,3024,3312,2487,18940,0.043453009503695884,0.13643083421330518,0.3542766631467793,0.159662090813094,0.17486800422386484,0.13130939809926082
CLONMEL,2022,375,1354,3508,1463,1878,1366,9944,0.03771118262268705,0.13616251005631536,0.35277554304102976,0.14712389380530974,0.18885760257441672,0.13736926790024134
CLONTARF,2022,511,2312,6083,2240,7829,7889,26864,0.019021739130434784,0.08606313281715307,0.22643686718284695,0.08338296605122096,0.2914309112567004,0.2936643835616438
COBH,2022,349,1224,4560,1961,3275,2672,14041,0.02485577950288441,0.08717327825653444,0.32476319350473615,0.13966241720675165,0.2332454953350901,0.19029983619400329
CONAMARA NORTH,2022,437,1405,2247,927,1341,1223,7580,0.05765171503957783,0.1853562005277045,0.2964379947229551,0.12229551451187336,0.17691292875989445,0.16134564643799473
CONAMARA SOUTH,2022,488,1265,2299,1014,2154,2484,9704,0.05028854080791426,0.13035861500412202,0.2369126133553174,0.10449299258037922,0.22197032151690024,0.2559769167353669
