CSO_LEA,Census Year,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate
SWINFORD,2022,570,1336,2789,1047,1374,898,8014,0.07112553032193661,0.16670826054404791,0.3480159720489144,0.13064636885450462,0.17144996256551034,0.11205390566508609
SWORDS,2022,444,1440,6333,2640,4284,3276,18417,0.02410816093826356,0.07818863007004398,0.34386707932888094,0.14334582179508062,0.23261117445838084,0.17787913340935005
TALLAGHT CENTRAL,2022,601,2988,4651,2219,2232,1371,14062,0.04273929739724079,0.2124875551130707,0.33074953776134264,0.15780116626368937,0.15872564357843835,0.09749679988621818
TALLAGHT SOUTH,2022,852,2131,5667,2302,2107,1452,14511,0.05871407897457102,0.14685411067466062,0.3905313210667769,0.15863827441251466,0.14520019295706704,0.10006202191440976
THURLES,2022,312,1101,3038,982,1517,984,7934,0.03932442651877993,0.13876985127300226,0.38290899924376104,0.12377111167128813,0.19120241996470885,0.12402319132845979
TRALEE,2022,584,1637,4554,1913,2789,1988,13465,0.04337170441886372,0.12157445228369848,0.33821017452655033,0.14207203861864093,0.2071295952469365,0.14764203490531005
TRAMORE-WATERFORD CITY WEST,2022,318,1124,3241,1412,2054,1505,9654,0.032939714108141706,0.1164284234514191,0.335715765485809,0.14626061736067952,0.21276154961673918,0.15589392997721152
TRIM,2022,539,1635,4267,1756,2561,1988,12746,0.042287776557351324,0.12827553742350542,0.334771693080182,0.13776871175270672,0.2009257806370626,0.1559705005491919
TUAM,2022,502,1878,4826,1877,2729,2045,13857,0.03622717759976907,0.13552717038319984,0.3482716316663058,0.13545500469077001,0.19694017464097568,0.14757884101897958
TULLAMORE,2022,657,1583,4014,1498,2170,1761,11683,0.056235555935975345,0.1354960198579132,0.34357613626636996,0.12822049131216298,0.18573996405032953,0.15073183257724898
TULLOW,2022,304,1175,2431,1264,1372,933,7479,0.040647145340286135,0.15710656504880333,0.32504345500735393,0.16900655167803183,0.1834469848910282,0.1247492980344966
WATERFORD CITY EAST,2022,186,832,2804,1070,2599,2143,9634,0.01930662237907411,0.08636080548058958,0.2910525223167947,0.11106497820220054,0.2697737180817936,0.22244135353954744
WATERFORD CITY SOUTH,2022,394,1905,3359,1429,1470,781,9338,0.04219318911972585,0.20400514028699937,0.35971300064253586,0.15303062754337118,0.15742128935532235,0.0836367530520454
WESTPORT,2022,352,1039,2665,1005,1769,1502,8332,0.04224675948151704,0.12469995199231877,0.3198511761881901,0.12061929908785406,0.21231397023523763,0.18026884301488239
WEXFORD,2022,637,1820,4425,1763,2572,1835,13052,0.04880478087649402,0.1394422310756972,0.339028501379099,0.13507508427827153,0.19705792215752374,0.14059148023291448
WICKLOW,2022,552,1261,3942,1749,2889,2346,12739,0.04333150168773059,0.09898736164534108,0.3094434414004239,0.13729492110840724,0.22678389198524218,0.184158882172855
