"CSO_LEA","Census Year","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","Population"
"KILRUSH",2022,0.109404458245536,0.456970167461462,0.174337362759233,0.15049351225463,0.108794499279139,18034
"KIMMAGE-RATHMINES",2022,0.0677573417335637,0.626013616502388,0.128442231480541,0.0988314195711818,0.078955390712326,49205
"KINNEGAD",2022,0.125408763897973,0.539132330499237,0.155384783082625,0.102844996729889,0.0772291257902769,18348
"LAYTOWN-BETTYSTOWN",2022,0.132922761098281,0.596292019502181,0.125320759558635,0.0842635360533744,0.0612009237875289,31176
"LEIXLIP",2022,0.0981826408264837,0.554106025186638,0.132342960561044,0.143578915617223,0.0717894578086117,13261
"LETTERKENNY",2022,0.119052407191409,0.584281864618107,0.135462333588063,0.0925873788360214,0.0686160157663999,24863
"LIFFORD-STRANORLAR",2022,0.116990982439487,0.523398196487898,0.148410061699098,0.121831988609397,0.0893687707641196,21070
"LIMERICK CITY EAST",2022,0.103743917375617,0.58730841802112,0.131881227448774,0.10271773312589,0.0743487040286007,30209
"LIMERICK CITY NORTH",2022,0.0908554572271386,0.550026028110359,0.145340968245705,0.116571230262016,0.0972063161547805,28815
"LIMERICK CITY WEST",2022,0.0909509101662614,0.62505750147861,0.12650325294079,0.0912466320562529,0.0662417033580864,30434
"LISMORE",2022,0.108778418361797,0.48852387686283,0.172848906776895,0.125856630044599,0.103992167953878,9193
"LISTOWEL",2022,0.101798410706817,0.473316603931409,0.163989962358846,0.148138854035968,0.112756168966959,23910
"LONGFORD",2022,0.119914661958361,0.54071948797175,0.138747884940778,0.111675126903553,0.0889428382255573,13593
"LOUGHREA",2022,0.112964253709051,0.525191675794085,0.150303694115304,0.116150552623718,0.0953898237578413,20086
"LUCAN",2022,0.137043189368771,0.653559563360228,0.112743236829616,0.0609634551495017,0.0356905552918842,42140
"MACROOM",2022,0.115300335137922,0.534061613817994,0.154840164990977,0.115558133539572,0.0802397525135344,31032
"MALLOW",2022,0.122994652406417,0.544117647058823,0.139361529735861,0.107235456165937,0.0862907146329606,24684
"MANORHAMILTON",2022,0.112834679133022,0.490862728431789,0.162770930726732,0.132065448363791,0.101466213344666,9412
"MAYNOOTH",2022,0.11971697036558,0.631985392018869,0.118005097576749,0.0775288165252787,0.0527637235135238,26287
"MIDLETON",2022,0.125006431695395,0.55955749935683,0.136197581682532,0.101903781836892,0.0773347054283509,38870
"MILFORD",2022,0.110652211323352,0.49406298399587,0.155480984340045,0.132163138874548,0.107640681466185,11622
"MOATE",2022,0.11553488372093,0.519441860465116,0.156899224806202,0.120124031007752,0.088,16125
"MONAGHAN",2022,0.11381360091618,0.520477722637291,0.159240879096908,0.119757866608496,0.0867099307411245,18337
"MUINEBEAG",2022,0.107145563385618,0.519057361521558,0.158445101159354,0.124801091157081,0.0905508827763886,13197
"MULLINGAR",2022,0.109548245212132,0.572161642078255,0.137175845322093,0.103729496930267,0.0773847704572528,21826
"NAAS",2022,0.10943438722937,0.606069990709198,0.136631098848504,0.0884596976266224,0.0594048255863059,35519
"NAVAN",2022,0.130943672275055,0.607102480547982,0.121766309769236,0.0817317284032719,0.0584558090044557,30074
"NENAGH",2022,0.107432651736449,0.520610191496267,0.153900248836958,0.119712214648924,0.0983446932814021,18486
"NEW ROSS",2022,0.111936539914379,0.513892386468564,0.156257869554268,0.124276001007303,0.0936372030554856,23826
"NEWBRIDGE",2022,0.128117875250961,0.584033756422908,0.136046551196107,0.0878619797869806,0.0639398373430428,29387
"NEWCASTLE WEST",2022,0.100232899163288,0.506340032778401,0.156387475200552,0.134563961010955,0.102475631846804,23186
