Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Females,Fair,"Rathfarnham-Templeogue, South Dublin",Number,2301
General Health of Population,2022,Females,Fair,"Firhouse-Bohernabreena, South Dublin",Number,1380
General Health of Population,2022,Females,Fair,"Tallaght South, South Dublin",Number,2286
General Health of Population,2022,Females,Fair,"Clondalkin, South Dublin",Number,2526
General Health of Population,2022,Females,Fair,"Balbriggan, Fingal",Number,1806
General Health of Population,2022,Females,Fair,"Ongar, Fingal",Number,1645
General Health of Population,2022,Females,Fair,"Palmerstown-Fonthill, South Dublin",Number,1258
General Health of Population,2022,Females,Fair,"Ballymun-Finglas, Dublin City",Number,3248
General Health of Population,2022,Females,Fair,"Cabra-Glasnevin, Dublin City",Number,2796
General Health of Population,2022,Females,Fair,"Ballyfermot-Drimnagh, Dublin City",Number,2807
General Health of Population,2022,Females,Fair,"Kimmage-Rathmines, Dublin City",Number,2758
General Health of Population,2022,Females,Fair,"Pembroke, Dublin City",Number,1421
General Health of Population,2022,Females,Fair,"South East Inner City, Dublin City",Number,1470
General Health of Population,2022,Females,Fair,"North Inner City, Dublin City",Number,2657
General Health of Population,2022,Females,Fair,"Clontarf, Dublin City",Number,2468
General Health of Population,2022,Females,Fair,"Donaghmede, Dublin City",Number,2366
General Health of Population,2022,Females,Fair,"Artane-Whitehall, Dublin City",Number,3157
General Health of Population,2022,Females,Fair,"South West Inner City, Dublin City",Number,1843
General Health of Population,2022,Females,Fair,"Ennistimon, Clare",Number,812
General Health of Population,2022,Females,Fair,"Killaloe, Clare",Number,828
General Health of Population,2022,Females,Fair,"Shannon, Clare",Number,1527
General Health of Population,2022,Females,Fair,"Ennis, Clare",Number,1719
General Health of Population,2022,Females,Fair,"Kilrush, Clare",Number,1137
General Health of Population,2022,Females,Fair,"Kanturk, Cork County",Number,1156
General Health of Population,2022,Females,Fair,"Fermoy, Cork County",Number,1663
General Health of Population,2022,Females,Fair,"Midleton, Cork County",Number,2088
General Health of Population,2022,Females,Fair,"Carrigaline, Cork County",Number,1304
General Health of Population,2022,Females,Fair,"Cobh, Cork County",Number,1452
General Health of Population,2022,Females,Fair,"Bandon-Kinsale, Cork County",Number,1475
General Health of Population,2022,Females,Fair,"Bantry-West Cork, Cork County",Number,1163
General Health of Population,2022,Females,Fair,"Skibbereen-West Cork, Cork County",Number,1428
General Health of Population,2022,Females,Fair,"Macroom, Cork County",Number,1331
General Health of Population,2022,Females,Fair,"Mallow, Cork County",Number,1409
General Health of Population,2022,Females,Fair,"Cork City North West, Cork City",Number,2396
General Health of Population,2022,Females,Fair,"Cork City North East, Cork City",Number,2066
General Health of Population,2022,Females,Fair,"Cork City South East, Cork City",Number,1964
General Health of Population,2022,Females,Fair,"Cork City South Central, Cork City",Number,1982
General Health of Population,2022,Females,Fair,"Cork City South West, Cork City",Number,2247
General Health of Population,2022,Females,Fair,"Glenties, Donegal",Number,1595
General Health of Population,2022,Females,Fair,"Milford, Donegal",Number,651
General Health of Population,2022,Females,Fair,"Carndonagh, Donegal",Number,930
General Health of Population,2022,Females,Fair,"Buncrana, Donegal",Number,1147
General Health of Population,2022,Females,Fair,"Donegal, Donegal",Number,1558
General Health of Population,2022,Females,Fair,"Letterkenny, Donegal",Number,1588
General Health of Population,2022,Females,Fair,"Lifford-Stranorlar, Donegal",Number,1509
General Health of Population,2022,Females,Fair,"Conamara North, Galway County",Number,976
General Health of Population,2022,Females,Fair,"Tuam, Galway County",Number,1535
General Health of Population,2022,Females,Fair,"Ballinasloe, Galway County",Number,1438
General Health of Population,2022,Females,Fair,"Loughrea, Galway County",Number,1192
General Health of Population,2022,Females,Fair,"Athenry-Oranmore, Galway County",Number,1289
General Health of Population,2022,Females,Fair,"Gort-Kinvara, Galway County",Number,987
General Health of Population,2022,Females,Fair,"Conamara South, Galway County",Number,1028
General Health of Population,2022,Females,Fair,"Galway City West, Galway City",Number,1108
General Health of Population,2022,Females,Fair,"Galway City Central, Galway City",Number,1416
General Health of Population,2022,Females,Fair,"Galway City East, Galway City",Number,1385
General Health of Population,2022,Females,Fair,"Listowel, Kerry",Number,1539
General Health of Population,2022,Females,Fair,"Castleisland, Kerry",Number,798
General Health of Population,2022,Females,Fair,"Killarney, Kerry",Number,1279
General Health of Population,2022,Females,Fair,"Kenmare, Kerry",Number,1235
General Health of Population,2022,Females,Fair,"Corca Dhuibhne, Kerry",Number,651
General Health of Population,2022,Females,Fair,"Tralee, Kerry",Number,1908
General Health of Population,2022,Females,Fair,"Maynooth, Kildare",Number,1178
General Health of Population,2022,Females,Fair,"Celbridge, Kildare",Number,862
General Health of Population,2022,Females,Fair,"Naas, Kildare",Number,1636
General Health of Population,2022,Females,Fair,"Athy, Kildare",Number,1349
General Health of Population,2022,Females,Fair,"Kildare, Kildare",Number,1335
General Health of Population,2022,Females,Fair,"Clane, Kildare",Number,1302
General Health of Population,2022,Females,Fair,"Leixlip, Kildare",Number,694
General Health of Population,2022,Females,Fair,"Newbridge, Kildare",Number,1643
General Health of Population,2022,Females,Fair,"Castlecomer, Kilkenny",Number,1083
General Health of Population,2022,Females,Fair,"Kilkenny, Kilkenny",Number,1487
General Health of Population,2022,Females,Fair,"Piltown, Kilkenny",Number,1008
General Health of Population,2022,Females,Fair,"Callan-Thomastown, Kilkenny",Number,1078
General Health of Population,2022,Females,Fair,Ireland,Number,232086
General Health of Population,2022,Females,Bad,"Borris-In-Ossory-Mountmellick, Laois",Number,230
General Health of Population,2022,Females,Bad,"Portlaoise, Laois",Number,285
General Health of Population,2022,Females,Bad,"Graiguecullen -Portarlington, Laois",Number,220
General Health of Population,2022,Females,Bad,"Carlow, Carlow",Number,259
General Health of Population,2022,Females,Bad,"Tullow, Carlow",Number,165
General Health of Population,2022,Females,Bad,"Muinebeag, Carlow",Number,109
General Health of Population,2022,Females,Bad,"Manorhamilton, Leitrim",Number,99
General Health of Population,2022,Females,Bad,"Ballinamore, Leitrim",Number,98
General Health of Population,2022,Females,Bad,"Carrick-On-Shannon, Leitrim",Number,109
General Health of Population,2022,Females,Bad,"Newcastle West, Limerick",Number,190
General Health of Population,2022,Females,Bad,"Adare-Rathkeale, Limerick",Number,218
General Health of Population,2022,Females,Bad,"Cappamore-Kilmallock, Limerick",Number,246
General Health of Population,2022,Females,Bad,"Limerick City West, Limerick",Number,334
General Health of Population,2022,Females,Bad,"Limerick City North, Limerick",Number,425
General Health of Population,2022,Females,Bad,"Limerick City East, Limerick",Number,348
General Health of Population,2022,Females,Bad,"Granard, Longford",Number,95
General Health of Population,2022,Females,Bad,"Ballymahon, Longford",Number,136
General Health of Population,2022,Females,Bad,"Longford, Longford",Number,208
General Health of Population,2022,Females,Bad,"Dundalk-Carlingford, Louth",Number,255
General Health of Population,2022,Females,Bad,"Dundalk South, Louth",Number,291
General Health of Population,2022,Females,Bad,"Ardee, Louth",Number,187
General Health of Population,2022,Females,Bad,"Drogheda Rural, Louth",Number,129
General Health of Population,2022,Females,Bad,"Drogheda Urban, Louth",Number,313
General Health of Population,2022,Females,Bad,"Ballina, Mayo",Number,224
General Health of Population,2022,Females,Bad,"Claremorris, Mayo",Number,209
General Health of Population,2022,Females,Bad,"Castlebar, Mayo",Number,268
General Health of Population,2022,Females,Bad,"Belmullet, Mayo",Number,145
General Health of Population,2022,Females,Bad,"Westport, Mayo",Number,142
General Health of Population,2022,Females,Bad,"Swinford, Mayo",Number,163
General Health of Population,2022,Females,Bad,"Kells, Meath",Number,230
General Health of Population,2022,Females,Bad,"Laytown-Bettystown, Meath",Number,265
General Health of Population,2022,Females,Bad,"Ashbourne, Meath",Number,185
General Health of Population,2022,Females,Bad,"Ratoath, Meath",Number,179
General Health of Population,2022,Females,Bad,"Trim, Meath",Number,213
General Health of Population,2022,Females,Bad,"Navan, Meath",Number,265
General Health of Population,2022,Females,Bad,"Monaghan, Monaghan",Number,146
General Health of Population,2022,Females,Bad,"Carrickmacross-Castleblayney, Monaghan",Number,171
General Health of Population,2022,Females,Bad,"Ballybay-Clones, Monaghan",Number,105
General Health of Population,2022,Females,Bad,"Birr, Offaly",Number,230
General Health of Population,2022,Females,Bad,"Tullamore, Offaly",Number,274
General Health of Population,2022,Females,Bad,"Edenderry, Offaly",Number,238
General Health of Population,2022,Females,Bad,"Boyle, Roscommon",Number,209
General Health of Population,2022,Females,Bad,"Roscommon, Roscommon",Number,234
General Health of Population,2022,Females,Bad,"Athlone, Roscommon",Number,145
General Health of Population,2022,Females,Bad,"Ballymote-Tobercurry, Sligo",Number,185
General Health of Population,2022,Females,Bad,"Sligo-Drumcliff, Sligo",Number,108
General Health of Population,2022,Females,Bad,"Sligo-Strandhill, Sligo",Number,237
General Health of Population,2022,Females,Bad,"Cavan-Belturbet, Cavan",Number,208
General Health of Population,2022,Females,Bad,"Bailieborough-Cootehill, Cavan",Number,183
General Health of Population,2022,Females,Bad,"Ballyjamesduff, Cavan",Number,188
General Health of Population,2022,Females,Bad,"Nenagh, Tipperary",Number,170
General Health of Population,2022,Females,Bad,"Roscrea-Templemore, Tipperary",Number,125
General Health of Population,2022,Females,Bad,"Carrick-On-Suir, Tipperary",Number,194
General Health of Population,2022,Females,Bad,"Clonmel, Tipperary",Number,201
General Health of Population,2022,Females,Bad,"Cashel-Tipperary, Tipperary",Number,235
General Health of Population,2022,Females,Bad,"Newport, Tipperary",Number,120
General Health of Population,2022,Females,Bad,"Thurles, Tipperary",Number,156
General Health of Population,2022,Females,Bad,"Cahir, Tipperary",Number,95
General Health of Population,2022,Females,Bad,"Dungarvan, Waterford",Number,176
General Health of Population,2022,Females,Bad,"Portlaw-Kilmacthomas, Waterford",Number,124
General Health of Population,2022,Females,Bad,"Lismore, Waterford",Number,72
General Health of Population,2022,Females,Bad,"Tramore-Waterford City West, Waterford",Number,164
General Health of Population,2022,Females,Bad,"Waterford City South, Waterford",Number,275
General Health of Population,2022,Females,Bad,"Waterford City East, Waterford",Number,163
General Health of Population,2022,Females,Bad,"Athlone, Westmeath",Number,182
General Health of Population,2022,Females,Bad,"Moate, Westmeath",Number,134
General Health of Population,2022,Females,Bad,"Kinnegad, Westmeath",Number,189
General Health of Population,2022,Females,Bad,"Mullingar, Westmeath",Number,207
General Health of Population,2022,Females,Bad,"Gorey, Wexford",Number,255
General Health of Population,2022,Females,Bad,"Kilmuckridge, Wexford",Number,152
General Health of Population,2022,Females,Bad,"New Ross, Wexford",Number,217
General Health of Population,2022,Females,Bad,"Rosslare, Wexford",Number,173
General Health of Population,2022,Females,Bad,"Wexford, Wexford",Number,342
General Health of Population,2022,Females,Bad,"Enniscorthy, Wexford",Number,261
General Health of Population,2022,Females,Bad,"Baltinglass, Wicklow",Number,190
General Health of Population,2022,Females,Bad,"Bray West, Wicklow",Number,118
General Health of Population,2022,Females,Bad,"Greystones, Wicklow",Number,194
General Health of Population,2022,Females,Bad,"Wicklow, Wicklow",Number,214
General Health of Population,2022,Females,Bad,"Arklow, Wicklow",Number,210
General Health of Population,2022,Females,Bad,"Bray East, Wicklow",Number,145
General Health of Population,2022,Females,Bad,"Rush-Lusk, Fingal",Number,264
General Health of Population,2022,Females,Bad,"Swords, Fingal",Number,345
General Health of Population,2022,Females,Bad,"Blanchardstown-Mulhuddart, Fingal",Number,296
General Health of Population,2022,Females,Bad,"Castleknock, Fingal",Number,306
General Health of Population,2022,Females,Bad,"Howth-Malahide, Fingal",Number,415
General Health of Population,2022,Females,Bad,"Stillorgan, Dún Laoghaire-Rathdown",Number,141
General Health of Population,2022,Females,Bad,"Dundrum, Dún Laoghaire-Rathdown",Number,224
General Health of Population,2022,Females,Bad,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,245
General Health of Population,2022,Females,Bad,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,293
General Health of Population,2022,Females,Bad,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,348
General Health of Population,2022,Females,Bad,"Blackrock, Dún Laoghaire-Rathdown",Number,192
General Health of Population,2022,Females,Bad,"Lucan, South Dublin",Number,328
General Health of Population,2022,Females,Bad,"Tallaght Central, South Dublin",Number,410
General Health of Population,2022,Females,Bad,"Rathfarnham-Templeogue, South Dublin",Number,369
General Health of Population,2022,Females,Bad,"Firhouse-Bohernabreena, South Dublin",Number,212
General Health of Population,2022,Females,Bad,"Tallaght South, South Dublin",Number,389
General Health of Population,2022,Females,Bad,"Clondalkin, South Dublin",Number,454
General Health of Population,2022,Females,Bad,"Balbriggan, Fingal",Number,347
General Health of Population,2022,Females,Bad,"Ongar, Fingal",Number,254
General Health of Population,2022,Females,Bad,"Palmerstown-Fonthill, South Dublin",Number,265
General Health of Population,2022,Females,Bad,"Ballymun-Finglas, Dublin City",Number,672
General Health of Population,2022,Females,Bad,"Cabra-Glasnevin, Dublin City",Number,505
General Health of Population,2022,Females,Bad,"Ballyfermot-Drimnagh, Dublin City",Number,559
General Health of Population,2022,Females,Bad,"Kimmage-Rathmines, Dublin City",Number,482
General Health of Population,2022,Females,Bad,"Pembroke, Dublin City",Number,237
General Health of Population,2022,Females,Bad,"South East Inner City, Dublin City",Number,272
General Health of Population,2022,Females,Bad,"North Inner City, Dublin City",Number,545
General Health of Population,2022,Females,Bad,"Clontarf, Dublin City",Number,404
General Health of Population,2022,Females,Bad,"Donaghmede, Dublin City",Number,412
General Health of Population,2022,Females,Bad,"Artane-Whitehall, Dublin City",Number,578
General Health of Population,2022,Females,Bad,"South West Inner City, Dublin City",Number,411
General Health of Population,2022,Females,Bad,"Ennistimon, Clare",Number,107
General Health of Population,2022,Females,Bad,"Killaloe, Clare",Number,118
General Health of Population,2022,Females,Bad,"Shannon, Clare",Number,271
General Health of Population,2022,Females,Bad,"Ennis, Clare",Number,286
General Health of Population,2022,Females,Bad,"Kilrush, Clare",Number,198
General Health of Population,2022,Females,Bad,"Kanturk, Cork County",Number,179
General Health of Population,2022,Females,Bad,"Fermoy, Cork County",Number,252
General Health of Population,2022,Females,Bad,"Midleton, Cork County",Number,291
General Health of Population,2022,Females,Bad,"Carrigaline, Cork County",Number,206
General Health of Population,2022,Females,Bad,"Cobh, Cork County",Number,207
General Health of Population,2022,Females,Bad,"Bandon-Kinsale, Cork County",Number,234
General Health of Population,2022,Females,Bad,"Bantry-West Cork, Cork County",Number,162
General Health of Population,2022,Females,Bad,"Skibbereen-West Cork, Cork County",Number,210
General Health of Population,2022,Females,Bad,"Macroom, Cork County",Number,172
General Health of Population,2022,Females,Bad,"Mallow, Cork County",Number,202
General Health of Population,2022,Females,Bad,"Cork City North West, Cork City",Number,428
General Health of Population,2022,Females,Bad,"Cork City North East, Cork City",Number,362
General Health of Population,2022,Females,Bad,"Cork City South East, Cork City",Number,299
General Health of Population,2022,Females,Bad,"Cork City South Central, Cork City",Number,313
General Health of Population,2022,Females,Bad,"Cork City South West, Cork City",Number,391
General Health of Population,2022,Females,Bad,"Glenties, Donegal",Number,238
General Health of Population,2022,Females,Bad,"Milford, Donegal",Number,103
General Health of Population,2022,Females,Bad,"Carndonagh, Donegal",Number,139
General Health of Population,2022,Females,Bad,"Buncrana, Donegal",Number,166
General Health of Population,2022,Females,Bad,"Donegal, Donegal",Number,203
General Health of Population,2022,Females,Bad,"Letterkenny, Donegal",Number,274
General Health of Population,2022,Females,Bad,"Lifford-Stranorlar, Donegal",Number,275
General Health of Population,2022,Females,Bad,"Conamara North, Galway County",Number,130
General Health of Population,2022,Females,Bad,"Tuam, Galway County",Number,281
General Health of Population,2022,Females,Bad,"Ballinasloe, Galway County",Number,220
General Health of Population,2022,Females,Bad,"Loughrea, Galway County",Number,146
General Health of Population,2022,Females,Bad,"Athenry-Oranmore, Galway County",Number,181
General Health of Population,2022,Females,Bad,"Gort-Kinvara, Galway County",Number,111
General Health of Population,2022,Females,Bad,"Conamara South, Galway County",Number,160
General Health of Population,2022,Females,Bad,"Galway City West, Galway City",Number,196
General Health of Population,2022,Females,Bad,"Galway City Central, Galway City",Number,235
General Health of Population,2022,Females,Bad,"Galway City East, Galway City",Number,229
General Health of Population,2022,Females,Bad,"Listowel, Kerry",Number,233
General Health of Population,2022,Females,Bad,"Castleisland, Kerry",Number,114
General Health of Population,2022,Females,Bad,"Killarney, Kerry",Number,168
General Health of Population,2022,Females,Bad,"Kenmare, Kerry",Number,166
General Health of Population,2022,Females,Bad,"Corca Dhuibhne, Kerry",Number,94
General Health of Population,2022,Females,Bad,"Tralee, Kerry",Number,347
General Health of Population,2022,Females,Bad,"Maynooth, Kildare",Number,182
General Health of Population,2022,Females,Bad,"Celbridge, Kildare",Number,130
General Health of Population,2022,Females,Bad,"Naas, Kildare",Number,255
General Health of Population,2022,Females,Bad,"Athy, Kildare",Number,257
General Health of Population,2022,Females,Bad,"Kildare, Kildare",Number,201
General Health of Population,2022,Females,Bad,"Clane, Kildare",Number,223
General Health of Population,2022,Females,Bad,"Leixlip, Kildare",Number,120
General Health of Population,2022,Females,Bad,"Newbridge, Kildare",Number,303
General Health of Population,2022,Females,Bad,"Castlecomer, Kilkenny",Number,151
General Health of Population,2022,Females,Bad,"Kilkenny, Kilkenny",Number,240
General Health of Population,2022,Females,Bad,"Piltown, Kilkenny",Number,146
General Health of Population,2022,Females,Bad,"Callan-Thomastown, Kilkenny",Number,160
General Health of Population,2022,Females,Bad,Ireland,Number,38590
General Health of Population,2022,Females,Very Bad,"Borris-In-Ossory-Mountmellick, Laois",Number,45
General Health of Population,2022,Females,Very Bad,"Portlaoise, Laois",Number,58
General Health of Population,2022,Females,Very Bad,"Graiguecullen -Portarlington, Laois",Number,52
General Health of Population,2022,Females,Very Bad,"Carlow, Carlow",Number,59
General Health of Population,2022,Females,Very Bad,"Tullow, Carlow",Number,34
General Health of Population,2022,Females,Very Bad,"Muinebeag, Carlow",Number,26
General Health of Population,2022,Females,Very Bad,"Manorhamilton, Leitrim",Number,12
General Health of Population,2022,Females,Very Bad,"Ballinamore, Leitrim",Number,13
General Health of Population,2022,Females,Very Bad,"Carrick-On-Shannon, Leitrim",Number,14
General Health of Population,2022,Females,Very Bad,"Newcastle West, Limerick",Number,38
General Health of Population,2022,Females,Very Bad,"Adare-Rathkeale, Limerick",Number,59
General Health of Population,2022,Females,Very Bad,"Cappamore-Kilmallock, Limerick",Number,65
General Health of Population,2022,Females,Very Bad,"Limerick City West, Limerick",Number,70
General Health of Population,2022,Females,Very Bad,"Limerick City North, Limerick",Number,86
General Health of Population,2022,Females,Very Bad,"Limerick City East, Limerick",Number,62
General Health of Population,2022,Females,Very Bad,"Granard, Longford",Number,24
General Health of Population,2022,Females,Very Bad,"Ballymahon, Longford",Number,34
General Health of Population,2022,Females,Very Bad,"Longford, Longford",Number,46
General Health of Population,2022,Females,Very Bad,"Dundalk-Carlingford, Louth",Number,48
General Health of Population,2022,Females,Very Bad,"Dundalk South, Louth",Number,68
General Health of Population,2022,Females,Very Bad,"Ardee, Louth",Number,42
General Health of Population,2022,Females,Very Bad,"Drogheda Rural, Louth",Number,29
General Health of Population,2022,Females,Very Bad,"Drogheda Urban, Louth",Number,74
General Health of Population,2022,Females,Very Bad,"Ballina, Mayo",Number,51
General Health of Population,2022,Females,Very Bad,"Claremorris, Mayo",Number,50
General Health of Population,2022,Females,Very Bad,"Castlebar, Mayo",Number,44
General Health of Population,2022,Females,Very Bad,"Belmullet, Mayo",Number,42
General Health of Population,2022,Females,Very Bad,"Westport, Mayo",Number,23
General Health of Population,2022,Females,Very Bad,"Swinford, Mayo",Number,43
General Health of Population,2022,Females,Very Bad,"Kells, Meath",Number,53
General Health of Population,2022,Females,Very Bad,"Laytown-Bettystown, Meath",Number,57
General Health of Population,2022,Females,Very Bad,"Ashbourne, Meath",Number,46
General Health of Population,2022,Females,Very Bad,"Ratoath, Meath",Number,36
General Health of Population,2022,Females,Very Bad,"Trim, Meath",Number,38
General Health of Population,2022,Females,Very Bad,"Navan, Meath",Number,82
General Health of Population,2022,Females,Very Bad,"Monaghan, Monaghan",Number,35
General Health of Population,2022,Females,Very Bad,"Carrickmacross-Castleblayney, Monaghan",Number,32
General Health of Population,2022,Females,Very Bad,"Ballybay-Clones, Monaghan",Number,22
General Health of Population,2022,Females,Very Bad,"Birr, Offaly",Number,56
General Health of Population,2022,Females,Very Bad,"Tullamore, Offaly",Number,55
General Health of Population,2022,Females,Very Bad,"Edenderry, Offaly",Number,50
General Health of Population,2022,Females,Very Bad,"Boyle, Roscommon",Number,60
General Health of Population,2022,Females,Very Bad,"Roscommon, Roscommon",Number,41
General Health of Population,2022,Females,Very Bad,"Athlone, Roscommon",Number,37
General Health of Population,2022,Females,Very Bad,"Ballymote-Tobercurry, Sligo",Number,41
General Health of Population,2022,Females,Very Bad,"Sligo-Drumcliff, Sligo",Number,33
General Health of Population,2022,Females,Very Bad,"Sligo-Strandhill, Sligo",Number,47
General Health of Population,2022,Females,Very Bad,"Cavan-Belturbet, Cavan",Number,62
General Health of Population,2022,Females,Very Bad,"Bailieborough-Cootehill, Cavan",Number,22
General Health of Population,2022,Females,Very Bad,"Ballyjamesduff, Cavan",Number,44
General Health of Population,2022,Females,Very Bad,"Nenagh, Tipperary",Number,47
General Health of Population,2022,Females,Very Bad,"Roscrea-Templemore, Tipperary",Number,33
General Health of Population,2022,Females,Very Bad,"Carrick-On-Suir, Tipperary",Number,62
General Health of Population,2022,Females,Very Bad,"Clonmel, Tipperary",Number,53
General Health of Population,2022,Females,Very Bad,"Cashel-Tipperary, Tipperary",Number,56
General Health of Population,2022,Females,Very Bad,"Newport, Tipperary",Number,41
General Health of Population,2022,Females,Very Bad,"Thurles, Tipperary",Number,36
General Health of Population,2022,Females,Very Bad,"Cahir, Tipperary",Number,23
General Health of Population,2022,Females,Very Bad,"Dungarvan, Waterford",Number,34
General Health of Population,2022,Females,Very Bad,"Portlaw-Kilmacthomas, Waterford",Number,20
General Health of Population,2022,Females,Very Bad,"Lismore, Waterford",Number,18
General Health of Population,2022,Females,Very Bad,"Tramore-Waterford City West, Waterford",Number,40
General Health of Population,2022,Females,Very Bad,"Waterford City South, Waterford",Number,56
General Health of Population,2022,Females,Very Bad,"Waterford City East, Waterford",Number,38
General Health of Population,2022,Females,Very Bad,"Athlone, Westmeath",Number,46
General Health of Population,2022,Females,Very Bad,"Moate, Westmeath",Number,23
General Health of Population,2022,Females,Very Bad,"Kinnegad, Westmeath",Number,41
General Health of Population,2022,Females,Very Bad,"Mullingar, Westmeath",Number,41
General Health of Population,2022,Females,Very Bad,"Gorey, Wexford",Number,58
General Health of Population,2022,Females,Very Bad,"Kilmuckridge, Wexford",Number,29
General Health of Population,2022,Females,Very Bad,"New Ross, Wexford",Number,33
General Health of Population,2022,Females,Very Bad,"Rosslare, Wexford",Number,40
General Health of Population,2022,Females,Very Bad,"Wexford, Wexford",Number,85
General Health of Population,2022,Females,Very Bad,"Enniscorthy, Wexford",Number,54
General Health of Population,2022,Females,Very Bad,"Baltinglass, Wicklow",Number,54
General Health of Population,2022,Females,Very Bad,"Bray West, Wicklow",Number,32
General Health of Population,2022,Females,Very Bad,"Greystones, Wicklow",Number,49
General Health of Population,2022,Females,Very Bad,"Wicklow, Wicklow",Number,47
General Health of Population,2022,Females,Very Bad,"Arklow, Wicklow",Number,56
General Health of Population,2022,Females,Very Bad,"Bray East, Wicklow",Number,43
General Health of Population,2022,Females,Very Bad,"Rush-Lusk, Fingal",Number,54
General Health of Population,2022,Females,Very Bad,"Swords, Fingal",Number,51
General Health of Population,2022,Females,Very Bad,"Blanchardstown-Mulhuddart, Fingal",Number,70
General Health of Population,2022,Females,Very Bad,"Castleknock, Fingal",Number,62
General Health of Population,2022,Females,Very Bad,"Howth-Malahide, Fingal",Number,88
General Health of Population,2022,Females,Very Bad,"Stillorgan, Dún Laoghaire-Rathdown",Number,37
General Health of Population,2022,Females,Very Bad,"Dundrum, Dún Laoghaire-Rathdown",Number,50
General Health of Population,2022,Females,Very Bad,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,54
General Health of Population,2022,Females,Very Bad,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,84
General Health of Population,2022,Females,Very Bad,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,74
General Health of Population,2022,Females,Very Bad,"Blackrock, Dún Laoghaire-Rathdown",Number,39
General Health of Population,2022,Females,Very Bad,"Lucan, South Dublin",Number,65
General Health of Population,2022,Females,Very Bad,"Tallaght Central, South Dublin",Number,80
General Health of Population,2022,Females,Very Bad,"Rathfarnham-Templeogue, South Dublin",Number,69
General Health of Population,2022,Females,Very Bad,"Firhouse-Bohernabreena, South Dublin",Number,41
General Health of Population,2022,Females,Very Bad,"Tallaght South, South Dublin",Number,109
General Health of Population,2022,Females,Very Bad,"Clondalkin, South Dublin",Number,99
General Health of Population,2022,Females,Very Bad,"Balbriggan, Fingal",Number,90
General Health of Population,2022,Females,Very Bad,"Ongar, Fingal",Number,57
General Health of Population,2022,Females,Very Bad,"Palmerstown-Fonthill, South Dublin",Number,58
General Health of Population,2022,Females,Very Bad,"Ballymun-Finglas, Dublin City",Number,176
General Health of Population,2022,Females,Very Bad,"Cabra-Glasnevin, Dublin City",Number,131
General Health of Population,2022,Females,Very Bad,"Ballyfermot-Drimnagh, Dublin City",Number,131
General Health of Population,2022,Females,Very Bad,"Kimmage-Rathmines, Dublin City",Number,119
General Health of Population,2022,Females,Very Bad,"Pembroke, Dublin City",Number,59
General Health of Population,2022,Females,Very Bad,"South East Inner City, Dublin City",Number,61
General Health of Population,2022,Females,Very Bad,"North Inner City, Dublin City",Number,123
General Health of Population,2022,Females,Very Bad,"Clontarf, Dublin City",Number,103
General Health of Population,2022,Females,Very Bad,"Donaghmede, Dublin City",Number,117
General Health of Population,2022,Females,Very Bad,"Artane-Whitehall, Dublin City",Number,135
General Health of Population,2022,Females,Very Bad,"South West Inner City, Dublin City",Number,83
General Health of Population,2022,Females,Very Bad,"Ennistimon, Clare",Number,30
General Health of Population,2022,Females,Very Bad,"Killaloe, Clare",Number,29
General Health of Population,2022,Females,Very Bad,"Shannon, Clare",Number,43
General Health of Population,2022,Females,Very Bad,"Ennis, Clare",Number,68
General Health of Population,2022,Females,Very Bad,"Kilrush, Clare",Number,43
General Health of Population,2022,Females,Very Bad,"Kanturk, Cork County",Number,48
General Health of Population,2022,Females,Very Bad,"Fermoy, Cork County",Number,55
General Health of Population,2022,Females,Very Bad,"Midleton, Cork County",Number,75
General Health of Population,2022,Females,Very Bad,"Carrigaline, Cork County",Number,48
General Health of Population,2022,Females,Very Bad,"Cobh, Cork County",Number,54
General Health of Population,2022,Females,Very Bad,"Bandon-Kinsale, Cork County",Number,46
General Health of Population,2022,Females,Very Bad,"Bantry-West Cork, Cork County",Number,44
General Health of Population,2022,Females,Very Bad,"Skibbereen-West Cork, Cork County",Number,64
General Health of Population,2022,Females,Very Bad,"Macroom, Cork County",Number,31
General Health of Population,2022,Females,Very Bad,"Mallow, Cork County",Number,35
General Health of Population,2022,Females,Very Bad,"Cork City North West, Cork City",Number,145
General Health of Population,2022,Females,Very Bad,"Cork City North East, Cork City",Number,80
General Health of Population,2022,Females,Very Bad,"Cork City South East, Cork City",Number,69
General Health of Population,2022,Females,Very Bad,"Cork City South Central, Cork City",Number,66
General Health of Population,2022,Females,Very Bad,"Cork City South West, Cork City",Number,86
General Health of Population,2022,Females,Very Bad,"Glenties, Donegal",Number,72
General Health of Population,2022,Females,Very Bad,"Milford, Donegal",Number,23
General Health of Population,2022,Females,Very Bad,"Carndonagh, Donegal",Number,29
General Health of Population,2022,Females,Very Bad,"Buncrana, Donegal",Number,41
General Health of Population,2022,Females,Very Bad,"Donegal, Donegal",Number,57
General Health of Population,2022,Females,Very Bad,"Letterkenny, Donegal",Number,80
