Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Males,Very Good,"Piltown, Kilkenny",Number,6622
General Health of Population,2022,Males,Very Good,"Callan-Thomastown, Kilkenny",Number,7616
General Health of Population,2022,Males,Very Good,Ireland,Number,1362525
General Health of Population,2022,Males,Good,"Borris-In-Ossory-Mountmellick, Laois",Number,4032
General Health of Population,2022,Males,Good,"Portlaoise, Laois",Number,5344
General Health of Population,2022,Males,Good,"Graiguecullen -Portarlington, Laois",Number,4596
General Health of Population,2022,Males,Good,"Carlow, Carlow",Number,3880
General Health of Population,2022,Males,Good,"Tullow, Carlow",Number,2926
General Health of Population,2022,Males,Good,"Muinebeag, Carlow",Number,2494
General Health of Population,2022,Males,Good,"Manorhamilton, Leitrim",Number,1861
General Health of Population,2022,Males,Good,"Ballinamore, Leitrim",Number,1705
General Health of Population,2022,Males,Good,"Carrick-On-Shannon, Leitrim",Number,1886
General Health of Population,2022,Males,Good,"Newcastle West, Limerick",Number,4901
General Health of Population,2022,Males,Good,"Adare-Rathkeale, Limerick",Number,4423
General Health of Population,2022,Males,Good,"Cappamore-Kilmallock, Limerick",Number,5815
General Health of Population,2022,Males,Good,"Limerick City West, Limerick",Number,5372
General Health of Population,2022,Males,Good,"Limerick City North, Limerick",Number,5289
General Health of Population,2022,Males,Good,"Limerick City East, Limerick",Number,5494
General Health of Population,2022,Males,Good,"Granard, Longford",Number,1759
General Health of Population,2022,Males,Good,"Ballymahon, Longford",Number,2477
General Health of Population,2022,Males,Good,"Longford, Longford",Number,2571
General Health of Population,2022,Males,Good,"Dundalk-Carlingford, Louth",Number,3597
General Health of Population,2022,Males,Good,"Dundalk South, Louth",Number,5560
General Health of Population,2022,Males,Good,"Ardee, Louth",Number,3948
General Health of Population,2022,Males,Good,"Drogheda Rural, Louth",Number,2793
General Health of Population,2022,Males,Good,"Drogheda Urban, Louth",Number,4234
General Health of Population,2022,Males,Good,"Ballina, Mayo",Number,4108
General Health of Population,2022,Males,Good,"Claremorris, Mayo",Number,4780
General Health of Population,2022,Males,Good,"Castlebar, Mayo",Number,4840
General Health of Population,2022,Males,Good,"Belmullet, Mayo",Number,2171
General Health of Population,2022,Males,Good,"Westport, Mayo",Number,2995
General Health of Population,2022,Males,Good,"Swinford, Mayo",Number,3021
General Health of Population,2022,Males,Good,"Kells, Meath",Number,5368
General Health of Population,2022,Males,Good,"Laytown-Bettystown, Meath",Number,6047
General Health of Population,2022,Males,Good,"Ashbourne, Meath",Number,4994
General Health of Population,2022,Males,Good,"Ratoath, Meath",Number,5234
General Health of Population,2022,Males,Good,"Trim, Meath",Number,4912
General Health of Population,2022,Males,Good,"Navan, Meath",Number,5969
General Health of Population,2022,Males,Good,"Monaghan, Monaghan",Number,3571
General Health of Population,2022,Males,Good,"Carrickmacross-Castleblayney, Monaghan",Number,3489
General Health of Population,2022,Males,Good,"Ballybay-Clones, Monaghan",Number,2838
General Health of Population,2022,Males,Good,"Birr, Offaly",Number,4375
General Health of Population,2022,Males,Good,"Tullamore, Offaly",Number,4597
General Health of Population,2022,Males,Good,"Edenderry, Offaly",Number,3950
General Health of Population,2022,Males,Good,"Boyle, Roscommon",Number,3966
General Health of Population,2022,Males,Good,"Roscommon, Roscommon",Number,3873
General Health of Population,2022,Males,Good,"Athlone, Roscommon",Number,3063
