"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Technical or vocational qualification","Number","1136"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","687"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Higher certificate","Number","936"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2402"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","5005"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Postgraduate diploma or degree","Number","6446"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Doctorate(Ph.D) or higher","Number","731"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Not stated","Number","5274"
"Population aged 15 years and over by sex and highest level of education completed","2022","South East Inner City, Dublin City","Both Sexes","Total","Number","29806"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","No formal education","Number","659"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Primary education","Number","1365"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Lower secondary","Number","1968"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Upper secondary","Number","2966"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Technical or vocational qualification","Number","1315"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Advanced certificate/Completed apprenticeship","Number","777"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Higher certificate","Number","970"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Ordinary bachelor degree or national diploma","Number","1884"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Honours bachelor degree, professional qualification or both","Number","3332"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Postgraduate diploma or degree","Number","3605"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Doctorate(Ph.D) or higher","Number","395"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Not stated","Number","6307"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Males","Total","Number","25543"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","No formal education","Number","543"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Primary education","Number","1432"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Lower secondary","Number","1503"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Upper secondary","Number","2501"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Technical or vocational qualification","Number","1064"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Advanced certificate/Completed apprenticeship","Number","529"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Higher certificate","Number","872"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Ordinary bachelor degree or national diploma","Number","1794"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Honours bachelor degree, professional qualification or both","Number","3405"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Postgraduate diploma or degree","Number","3860"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Doctorate(Ph.D) or higher","Number","306"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Not stated","Number","5190"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Females","Total","Number","22999"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","No formal education","Number","1202"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Primary education","Number","2797"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Lower secondary","Number","3471"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Upper secondary","Number","5467"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Technical or vocational qualification","Number","2379"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1306"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Higher certificate","Number","1842"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Ordinary bachelor degree or national diploma","Number","3678"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","6737"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Postgraduate diploma or degree","Number","7465"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Doctorate(Ph.D) or higher","Number","701"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Not stated","Number","11497"
"Population aged 15 years and over by sex and highest level of education completed","2022","North Inner City, Dublin City","Both Sexes","Total","Number","48542"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","No formal education","Number","260"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Primary education","Number","995"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Lower secondary","Number","1725"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Upper secondary","Number","2859"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Technical or vocational qualification","Number","1056"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Advanced certificate/Completed apprenticeship","Number","939"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Higher certificate","Number","867"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Ordinary bachelor degree or national diploma","Number","1691"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Honours bachelor degree, professional qualification or both","Number","3660"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Postgraduate diploma or degree","Number","3577"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Doctorate(Ph.D) or higher","Number","485"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Not stated","Number","794"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Males","Total","Number","18908"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","No formal education","Number","251"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Primary education","Number","1317"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Lower secondary","Number","1956"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Upper secondary","Number","3224"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Technical or vocational qualification","Number","1184"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Advanced certificate/Completed apprenticeship","Number","490"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Higher certificate","Number","1021"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Ordinary bachelor degree or national diploma","Number","1716"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Honours bachelor degree, professional qualification or both","Number","4169"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Postgraduate diploma or degree","Number","4312"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Doctorate(Ph.D) or higher","Number","445"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Not stated","Number","906"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Females","Total","Number","20991"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","No formal education","Number","511"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Primary education","Number","2312"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Lower secondary","Number","3681"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Upper secondary","Number","6083"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Technical or vocational qualification","Number","2240"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1429"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Higher certificate","Number","1888"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Ordinary bachelor degree or national diploma","Number","3407"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","7829"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Postgraduate diploma or degree","Number","7889"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Doctorate(Ph.D) or higher","Number","930"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Not stated","Number","1700"
"Population aged 15 years and over by sex and highest level of education completed","2022","Clontarf, Dublin City","Both Sexes","Total","Number","39899"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","No formal education","Number","359"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Primary education","Number","1213"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Lower secondary","Number","2320"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Upper secondary","Number","2936"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Technical or vocational qualification","Number","1146"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Advanced certificate/Completed apprenticeship","Number","1088"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Higher certificate","Number","721"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Ordinary bachelor degree or national diploma","Number","1107"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Honours bachelor degree, professional qualification or both","Number","1879"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Postgraduate diploma or degree","Number","1500"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Doctorate(Ph.D) or higher","Number","138"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Not stated","Number","848"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Males","Total","Number","15255"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","No formal education","Number","349"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Primary education","Number","1658"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Lower secondary","Number","2330"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Upper secondary","Number","3230"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Technical or vocational qualification","Number","1368"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Advanced certificate/Completed apprenticeship","Number","550"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Higher certificate","Number","969"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Ordinary bachelor degree or national diploma","Number","1182"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Honours bachelor degree, professional qualification or both","Number","2096"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Postgraduate diploma or degree","Number","1836"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Doctorate(Ph.D) or higher","Number","117"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Not stated","Number","898"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Females","Total","Number","16583"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","No formal education","Number","708"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Primary education","Number","2871"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Lower secondary","Number","4650"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Upper secondary","Number","6166"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Technical or vocational qualification","Number","2514"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1638"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Higher certificate","Number","1690"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2289"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","3975"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Postgraduate diploma or degree","Number","3336"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Doctorate(Ph.D) or higher","Number","255"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Not stated","Number","1746"
"Population aged 15 years and over by sex and highest level of education completed","2022","Donaghmede, Dublin City","Both Sexes","Total","Number","31838"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","No formal education","Number","470"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Primary education","Number","1799"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Lower secondary","Number","2836"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Upper secondary","Number","3089"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Technical or vocational qualification","Number","1160"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Advanced certificate/Completed apprenticeship","Number","1157"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Higher certificate","Number","708"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Ordinary bachelor degree or national diploma","Number","1043"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Honours bachelor degree, professional qualification or both","Number","1652"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Postgraduate diploma or degree","Number","1295"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Doctorate(Ph.D) or higher","Number","171"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Not stated","Number","1527"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Males","Total","Number","16907"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","No formal education","Number","543"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Primary education","Number","2346"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Lower secondary","Number","3094"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Upper secondary","Number","3541"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Technical or vocational qualification","Number","1447"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Advanced certificate/Completed apprenticeship","Number","524"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Higher certificate","Number","913"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Ordinary bachelor degree or national diploma","Number","1065"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Honours bachelor degree, professional qualification or both","Number","2132"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Postgraduate diploma or degree","Number","1599"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Doctorate(Ph.D) or higher","Number","132"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Not stated","Number","1598"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Females","Total","Number","18934"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","No formal education","Number","1013"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Primary education","Number","4145"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Lower secondary","Number","5930"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Upper secondary","Number","6630"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Technical or vocational qualification","Number","2607"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1681"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Higher certificate","Number","1621"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2108"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","3784"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Postgraduate diploma or degree","Number","2894"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Doctorate(Ph.D) or higher","Number","303"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Not stated","Number","3125"
"Population aged 15 years and over by sex and highest level of education completed","2022","Artane-Whitehall, Dublin City","Both Sexes","Total","Number","35841"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","No formal education","Number","340"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Primary education","Number","824"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Lower secondary","Number","1166"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Upper secondary","Number","1810"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Technical or vocational qualification","Number","764"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Advanced certificate/Completed apprenticeship","Number","514"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Higher certificate","Number","496"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Ordinary bachelor degree or national diploma","Number","1217"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Honours bachelor degree, professional qualification or both","Number","2533"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Postgraduate diploma or degree","Number","2604"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Doctorate(Ph.D) or higher","Number","294"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Not stated","Number","2694"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Males","Total","Number","15256"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","No formal education","Number","311"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Primary education","Number","977"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Lower secondary","Number","1078"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Upper secondary","Number","1589"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Technical or vocational qualification","Number","705"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Advanced certificate/Completed apprenticeship","Number","300"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Higher certificate","Number","550"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Ordinary bachelor degree or national diploma","Number","1130"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Honours bachelor degree, professional qualification or both","Number","2562"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Postgraduate diploma or degree","Number","2981"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Doctorate(Ph.D) or higher","Number","269"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Not stated","Number","2331"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Females","Total","Number","14783"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","No formal education","Number","651"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Primary education","Number","1801"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Lower secondary","Number","2244"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Upper secondary","Number","3399"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Technical or vocational qualification","Number","1469"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Advanced certificate/Completed apprenticeship","Number","814"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Higher certificate","Number","1046"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Ordinary bachelor degree or national diploma","Number","2347"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Honours bachelor degree, professional qualification or both","Number","5095"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Postgraduate diploma or degree","Number","5585"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Doctorate(Ph.D) or higher","Number","563"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Not stated","Number","5025"
"Population aged 15 years and over by sex and highest level of education completed","2022","South West Inner City, Dublin City","Both Sexes","Total","Number","30039"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","No formal education","Number","152"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Primary education","Number","589"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Lower secondary","Number","1020"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Upper secondary","Number","1135"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Technical or vocational qualification","Number","403"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Advanced certificate/Completed apprenticeship","Number","507"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Higher certificate","Number","284"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Ordinary bachelor degree or national diploma","Number","425"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Honours bachelor degree, professional qualification or both","Number","636"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Postgraduate diploma or degree","Number","462"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Doctorate(Ph.D) or higher","Number","53"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Not stated","Number","438"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Males","Total","Number","6104"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","No formal education","Number","102"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Primary education","Number","338"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Lower secondary","Number","668"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Upper secondary","Number","1221"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Technical or vocational qualification","Number","505"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Advanced certificate/Completed apprenticeship","Number","268"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Higher certificate","Number","432"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Ordinary bachelor degree or national diploma","Number","610"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Honours bachelor degree, professional qualification or both","Number","865"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Postgraduate diploma or degree","Number","824"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Doctorate(Ph.D) or higher","Number","60"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Not stated","Number","593"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Females","Total","Number","6486"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","No formal education","Number","254"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ennistimon, Clare","Both Sexes","Primary education","Number","927"
