"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Higher certificate","Number","714"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Ordinary bachelor degree or national diploma","Number","855"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Honours bachelor degree, professional qualification or both","Number","1431"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Postgraduate diploma or degree","Number","1085"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Doctorate(Ph.D) or higher","Number","47"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Not stated","Number","535"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Total","Number","10414"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","No formal education","Number","516"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Primary education","Number","1357"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Lower secondary","Number","2922"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Upper secondary","Number","4449"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Technical or vocational qualification","Number","1923"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1279"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Higher certificate","Number","1205"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Ordinary bachelor degree or national diploma","Number","1625"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Honours bachelor degree, professional qualification or both","Number","2518"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Postgraduate diploma or degree","Number","1751"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Doctorate(Ph.D) or higher","Number","102"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Not stated","Number","1634"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Both Sexes","Total","Number","21281"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","No formal education","Number","308"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Primary education","Number","789"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Lower secondary","Number","1755"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Upper secondary","Number","1944"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Technical or vocational qualification","Number","696"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Advanced certificate/Completed apprenticeship","Number","992"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Higher certificate","Number","504"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Ordinary bachelor degree or national diploma","Number","679"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Honours bachelor degree, professional qualification or both","Number","949"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Postgraduate diploma or degree","Number","596"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Doctorate(Ph.D) or higher","Number","51"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Not stated","Number","495"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Males","Total","Number","9758"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","No formal education","Number","202"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Primary education","Number","586"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Lower secondary","Number","1265"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Upper secondary","Number","1922"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Technical or vocational qualification","Number","1004"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Advanced certificate/Completed apprenticeship","Number","410"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Higher certificate","Number","755"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Ordinary bachelor degree or national diploma","Number","782"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Honours bachelor degree, professional qualification or both","Number","1387"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Postgraduate diploma or degree","Number","1011"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Doctorate(Ph.D) or higher","Number","41"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Not stated","Number","473"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Females","Total","Number","9838"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","No formal education","Number","510"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Primary education","Number","1375"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Lower secondary","Number","3020"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Upper secondary","Number","3866"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Technical or vocational qualification","Number","1700"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1402"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Higher certificate","Number","1259"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Ordinary bachelor degree or national diploma","Number","1461"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Honours bachelor degree, professional qualification or both","Number","2336"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Postgraduate diploma or degree","Number","1607"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Doctorate(Ph.D) or higher","Number","92"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Not stated","Number","968"
"Population aged 15 years and over by sex and highest level of education completed","2022","Graiguecullen -Portarlington, Laois","Both Sexes","Total","Number","19596"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","No formal education","Number","167"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Primary education","Number","622"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Lower secondary","Number","1256"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Upper secondary","Number","1390"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Technical or vocational qualification","Number","661"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Advanced certificate/Completed apprenticeship","Number","612"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Higher certificate","Number","403"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Ordinary bachelor degree or national diploma","Number","548"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Honours bachelor degree, professional qualification or both","Number","834"
"Population aged 15 years and over by sex and highest level of education completed","2022","Carlow, Carlow","Males","Postgraduate diploma or degree","Number","600"
