"","LEA","Center","Distance"
"3371","CLAREMORRIS","Dundalk Vaccination Centre - Fairways Hotel",178502.115216907
"3372","CLONDALKIN","Dundalk Vaccination Centre - Fairways Hotel",75901.4120162576
"3373","CLONMEL","Dundalk Vaccination Centre - Fairways Hotel",194481.799627201
"3374","CLONTARF","Dundalk Vaccination Centre - Fairways Hotel",67926.7330632137
"3375","COBH","Dundalk Vaccination Centre - Fairways Hotel",260178.851548152
"3376","CONAMARA NORTH","Dundalk Vaccination Centre - Fairways Hotel",224208.271053411
"3377","CONAMARA SOUTH","Dundalk Vaccination Centre - Fairways Hotel",212989.00099743
"3378","CORCA DHUIBHNE","Dundalk Vaccination Centre - Fairways Hotel",318375.254689772
"3379","CORK CITY NORTH EAST","Dundalk Vaccination Centre - Fairways Hotel",265175.081852336
"3380","CORK CITY NORTH WEST","Dundalk Vaccination Centre - Fairways Hotel",270810.215547101
"3381","CORK CITY SOUTH CENTRAL","Dundalk Vaccination Centre - Fairways Hotel",272254.637228178
"3382","CORK CITY SOUTH EAST","Dundalk Vaccination Centre - Fairways Hotel",270045.624875144
"3383","CORK CITY SOUTH WEST","Dundalk Vaccination Centre - Fairways Hotel",274472.297422123
"3384","DONAGHMEDE","Dundalk Vaccination Centre - Fairways Hotel",66365.6752684718
"3385","DONEGAL","Dundalk Vaccination Centre - Fairways Hotel",140517.897898869
"3386","DROGHEDA RURAL","Dundalk Vaccination Centre - Fairways Hotel",23410.1423959064
"3387","DROGHEDA URBAN","Dundalk Vaccination Centre - Fairways Hotel",28675.7316131358
"3388","DÚN LAOGHAIRE","Dundalk Vaccination Centre - Fairways Hotel",78669.5508688224
"3389","DUNDALK-CARLINGFORD","Dundalk Vaccination Centre - Fairways Hotel",9340.24959188464
"3390","DUNDALK SOUTH","Dundalk Vaccination Centre - Fairways Hotel",5098.28892040762
"3391","DUNDRUM","Dundalk Vaccination Centre - Fairways Hotel",75961.4335902324
"3392","DUNGARVAN","Dundalk Vaccination Centre - Fairways Hotel",230115.602998662
"3393","EDENDERRY","Dundalk Vaccination Centre - Fairways Hotel",94170.592375697
"3394","ENNIS","Dundalk Vaccination Centre - Fairways Hotel",212537.844667671
"3395","ENNISCORTHY","Dundalk Vaccination Centre - Fairways Hotel",157903.098342943
"3396","ENNISTIMON","Dundalk Vaccination Centre - Fairways Hotel",214284.185645597
"3397","FERMOY","Dundalk Vaccination Centre - Fairways Hotel",239531.659747487
"3398","FIRHOUSE-BOHERNABREENA","Dundalk Vaccination Centre - Fairways Hotel",81657.7056128632
"3399","GALWAY CITY CENTRAL","Dundalk Vaccination Centre - Fairways Hotel",192576.237652673
"3400","GALWAY CITY EAST","Dundalk Vaccination Centre - Fairways Hotel",188925.589568586
"3401","GALWAY CITY WEST","Dundalk Vaccination Centre - Fairways Hotel",196091.358060689
"3402","GLENCULLEN-SANDYFORD","Dundalk Vaccination Centre - Fairways Hotel",81457.1737786288
"3403","GLENTIES","Dundalk Vaccination Centre - Fairways Hotel",161293.456338198
"3404","GOREY","Dundalk Vaccination Centre - Fairways Hotel",142145.052659608
"3405","GORT-KINVARA","Dundalk Vaccination Centre - Fairways Hotel",185366.260314301
"3406","GRAIGUECULLEN-PORTARLINGTON","Dundalk Vaccination Centre - Fairways Hotel",120542.243364977
"3407","GRANARD","Dundalk Vaccination Centre - Fairways Hotel",81477.0098300716
"3408","GREYSTONES","Dundalk Vaccination Centre - Fairways Hotel",98509.7420045901
"3409","HOWTH-MALAHIDE","Dundalk Vaccination Centre - Fairways Hotel",63431.3963226963
"3410","KANTURK","Dundalk Vaccination Centre - Fairways Hotel",261117.557835223
"3411","KELLS","Dundalk Vaccination Centre - Fairways Hotel",41171.7964628901
"3412","KENMARE","Dundalk Vaccination Centre - Fairways Hotel",326580.481190264
"3413","KILDARE","Dundalk Vaccination Centre - Fairways Hotel",95782.667542759
"3414","KILKENNY","Dundalk Vaccination Centre - Fairways Hotel",156580.696675686
"3415","KILLALOE","Dundalk Vaccination Centre - Fairways Hotel",192487.894068756
"3416","KILLARNEY","Dundalk Vaccination Centre - Fairways Hotel",296746.232718353
"3417","KILLINEY-SHANKILL","Dundalk Vaccination Centre - Fairways Hotel",83517.5086218956
"3418","KILMUCKRIDGE","Dundalk Vaccination Centre - Fairways Hotel",162391.760732383
"3419","KILRUSH","Dundalk Vaccination Centre - Fairways Hotel",242034.502398508
"3420","KIMMAGE-RATHMINES","Dundalk Vaccination Centre - Fairways Hotel",72875.7201451161
"3421","KINNEGAD","Dundalk Vaccination Centre - Fairways Hotel",68740.6946000039
"3422","LAYTOWN-BETTYSTOWN","Dundalk Vaccination Centre - Fairways Hotel",29241.1575415628
"3423","LEIXLIP","Dundalk Vaccination Centre - Fairways Hotel",66981.3287253857
"3424","LETTERKENNY","Dundalk Vaccination Centre - Fairways Hotel",142754.246907305
"3425","LIFFORD-STRANORLAR","Dundalk Vaccination Centre - Fairways Hotel",130405.028518238
"3426","LIMERICK CITY EAST","Dundalk Vaccination Centre - Fairways Hotel",205361.544353358
"3427","LIMERICK CITY NORTH","Dundalk Vaccination Centre - Fairways Hotel",208831.463482243
"3428","LIMERICK CITY WEST","Dundalk Vaccination Centre - Fairways Hotel",215093.486000773
"3429","LISMORE","Dundalk Vaccination Centre - Fairways Hotel",226696.025311314
"3430","LISTOWEL","Dundalk Vaccination Centre - Fairways Hotel",270334.0427393
"3431","LONGFORD","Dundalk Vaccination Centre - Fairways Hotel",96216.851469379
"3432","LOUGHREA","Dundalk Vaccination Centre - Fairways Hotel",162091.246519764
"3433","LUCAN","Dundalk Vaccination Centre - Fairways Hotel",69465.4457665904
"3434","MACROOM","Dundalk Vaccination Centre - Fairways Hotel",285743.473061408
"3435","MALLOW","Dundalk Vaccination Centre - Fairways Hotel",256015.856928385
"3436","MANORHAMILTON","Dundalk Vaccination Centre - Fairways Hotel",123255.762244225
"3437","MAYNOOTH","Dundalk Vaccination Centre - Fairways Hotel",69942.9860451699
"3438","MIDLETON","Dundalk Vaccination Centre - Fairways Hotel",254146.968327201
"3439","MILFORD","Dundalk Vaccination Centre - Fairways Hotel",154142.539061745
"3440","MOATE","Dundalk Vaccination Centre - Fairways Hotel",94237.4063576402
"3441","MONAGHAN","Dundalk Vaccination Centre - Fairways Hotel",52111.5283873276
"3442","MUINEBEAG","Dundalk Vaccination Centre - Fairways Hotel",150130.45959009
"3443","MULLINGAR","Dundalk Vaccination Centre - Fairways Hotel",78777.629605875
"3444","NAAS","Dundalk Vaccination Centre - Fairways Hotel",84971.1793150649
"3445","NAVAN","Dundalk Vaccination Centre - Fairways Hotel",42038.0952829629
"3446","NENAGH","Dundalk Vaccination Centre - Fairways Hotel",158089.357829964
"3447","NEW ROSS","Dundalk Vaccination Centre - Fairways Hotel",180839.109844561
"3448","NEWBRIDGE","Dundalk Vaccination Centre - Fairways Hotel",92921.3634687168
"3449","NEWCASTLE WEST","Dundalk Vaccination Centre - Fairways Hotel",249656.965616275
"3450","NEWPORT","Dundalk Vaccination Centre - Fairways Hotel",182331.026836427
"3451","NORTH INNER CITY","Dundalk Vaccination Centre - Fairways Hotel",69386.8389622387
"3452","ONGAR","Dundalk Vaccination Centre - Fairways Hotel",64167.5169335008
"3453","PALMERSTOWN-FONTHILL","Dundalk Vaccination Centre - Fairways Hotel",69238.9215519603
"3454","PEMBROKE","Dundalk Vaccination Centre - Fairways Hotel",72835.8168617941
"3455","PILTOWN","Dundalk Vaccination Centre - Fairways Hotel",187616.654589799
"3456","PORTLAOISE","Dundalk Vaccination Centre - Fairways Hotel",126859.32906391
"3457","PORTLAW-KILMACTHOMAS","Dundalk Vaccination Centre - Fairways Hotel",205110.532230119
"3458","RATHFARNHAM-TEMPLEOGUE","Dundalk Vaccination Centre - Fairways Hotel",74820.6730730849
"3459","RATOATH","Dundalk Vaccination Centre - Fairways Hotel",56708.0413782526
"3460","ROSCOMMON","Dundalk Vaccination Centre - Fairways Hotel",132644.986337929
"3461","ROSCREA-TEMPLEMORE","Dundalk Vaccination Centre - Fairways Hotel",159910.583825964
"3462","ROSSLARE","Dundalk Vaccination Centre - Fairways Hotel",191573.011582821
"3463","RUSH-LUSK","Dundalk Vaccination Centre - Fairways Hotel",48879.9396190904
"3464","SHANNON","Dundalk Vaccination Centre - Fairways Hotel",212159.382732358
"3465","SKIBBEREEN-WEST CORK","Dundalk Vaccination Centre - Fairways Hotel",315926.906943316
"3466","SLIGO-DRUMCLIFF","Dundalk Vaccination Centre - Fairways Hotel",140916.480176738
"3467","SLIGO-STRANDHILL","Dundalk Vaccination Centre - Fairways Hotel",143931.07154845
"3468","SOUTH EAST INNER CITY","Dundalk Vaccination Centre - Fairways Hotel",70952.0001079859
"3469","SOUTH WEST INNER CITY","Dundalk Vaccination Centre - Fairways Hotel",70438.3616970184
"3470","STILLORGAN","Dundalk Vaccination Centre - Fairways Hotel",77316.0510319718
"3471","SWINFORD","Dundalk Vaccination Centre - Fairways Hotel",163907.564726338
"3472","SWORDS","Dundalk Vaccination Centre - Fairways Hotel",56846.5466264929
"3473","TALLAGHT CENTRAL","Dundalk Vaccination Centre - Fairways Hotel",74876.6502879541
"3474","TALLAGHT SOUTH","Dundalk Vaccination Centre - Fairways Hotel",79498.0643473088
"3475","THURLES","Dundalk Vaccination Centre - Fairways Hotel",172626.594217696
"3476","TRALEE","Dundalk Vaccination Centre - Fairways Hotel",292735.31471873
"3477","TRAMORE-WATERFORD CITY WEST","Dundalk Vaccination Centre - Fairways Hotel",204493.976137245
"3478","TRIM","Dundalk Vaccination Centre - Fairways Hotel",61763.5513366836
"3479","TUAM","Dundalk Vaccination Centre - Fairways Hotel",171986.730262413
"3480","TULLAMORE","Dundalk Vaccination Centre - Fairways Hotel",109404.579773108
"3481","TULLOW","Dundalk Vaccination Centre - Fairways Hotel",133774.627140502
"3482","WATERFORD CITY EAST","Dundalk Vaccination Centre - Fairways Hotel",201497.657026119
"3483","WATERFORD CITY SOUTH","Dundalk Vaccination Centre - Fairways Hotel",201510.640152536
"3484","WESTPORT","Dundalk Vaccination Centre - Fairways Hotel",214961.963316047
"3485","WEXFORD","Dundalk Vaccination Centre - Fairways Hotel",178975.696221333
"3486","WICKLOW","Dundalk Vaccination Centre - Fairways Hotel",104812.709757485
"3487","ADARE-RATHKEALE","Breaffy House Resort Vaccination Centre",144931.673885627
"3488","ARDEE","Breaffy House Resort Vaccination Centre",181397.560746146
"3489","ARKLOW","Breaffy House Resort Vaccination Centre",224488.120783746
"3490","ARTANE-WHITEHALL","Breaffy House Resort Vaccination Centre",205678.818869415
"3491","ASHBOURNE","Breaffy House Resort Vaccination Centre",185232.548467213
"3492","ATHENRY-ORANMORE","Breaffy House Resort Vaccination Centre",62639.2438387487
"3493","ATHLONE","Breaffy House Resort Vaccination Centre",100814.540786916
"3494","ATHLONE","Breaffy House Resort Vaccination Centre",84379.0047222737
"3495","ATHY","Breaffy House Resort Vaccination Centre",182050.957434046
"3496","BAILIEBOROUGH-COOTEHILL","Breaffy House Resort Vaccination Centre",141958.690908439
"3497","BALBRIGGAN","Breaffy House Resort Vaccination Centre",205091.292276544
"3498","BALLINA","Breaffy House Resort Vaccination Centre",33567.9768637187
"3499","BALLINAMORE","Breaffy House Resort Vaccination Centre",94402.9700133295
"3500","BALLINASLOE","Breaffy House Resort Vaccination Centre",69669.8633360053
"3501","BALLYBAY-CLONES","Breaffy House Resort Vaccination Centre",148958.529827919
"3502","BALLYFERMOT-DRIMNAGH","Breaffy House Resort Vaccination Centre",199613.062876647
"3503","BALLYJAMESDUFF","Breaffy House Resort Vaccination Centre",127421.381511908
"3504","BALLYMAHON","Breaffy House Resort Vaccination Centre",97671.7742908767
"3505","BALLYMOTE-TOBERCURRY","Breaffy House Resort Vaccination Centre",47761.3942946256
"3506","BALLYMUN-FINGLAS","Breaffy House Resort Vaccination Centre",201460.586746148
"3507","BALTINGLASS","Breaffy House Resort Vaccination Centre",204093.216225758
"3508","BANDON-KINSALE","Breaffy House Resort Vaccination Centre",239457.704652669
"3509","BANTRY-WEST CORK","Breaffy House Resort Vaccination Centre",244269.07832515
"3510","BELMULLET","Breaffy House Resort Vaccination Centre",45439.5818187964
"3511","BIRR","Breaffy House Resort Vaccination Centre",121647.35008978
"3512","BLACKROCK","Breaffy House Resort Vaccination Centre",211407.892173497
"3513","BLANCHARDSTOWN-MULHUDDART","Breaffy House Resort Vaccination Centre",197115.920803334
"3514","BORRIS-IN-OSSORY-MOUNTMELLICK","Breaffy House Resort Vaccination Centre",148690.197927797
"3515","BOYLE","Breaffy House Resort Vaccination Centre",66783.7406338617
"3516","BRAY EAST","Breaffy House Resort Vaccination Centre",219707.32411622
"3517","BRAY WEST","Breaffy House Resort Vaccination Centre",213951.769493998
"3518","BUNCRANA","Breaffy House Resort Vaccination Centre",183128.783919018
"3519","CABRA-GLASNEVIN","Breaffy House Resort Vaccination Centre",201246.553749877
"3520","CAHIR","Breaffy House Resort Vaccination Centre",190327.423556788
"3521","CALLAN-THOMASTOWN","Breaffy House Resort Vaccination Centre",201281.270964859
"3522","CAPPAMORE-KILMALLOCK","Breaffy House Resort Vaccination Centre",162627.375143336
"3523","CARLOW","Breaffy House Resort Vaccination Centre",192539.435630587
"3524","CARNDONAGH","Breaffy House Resort Vaccination Centre",203207.331500039
"3525","CARRICK-ON-SHANNON","Breaffy House Resort Vaccination Centre",86174.4572899169
"3526","CARRICK-ON-SUIR","Breaffy House Resort Vaccination Centre",183903.310828242
"3527","CARRICKMACROSS-CASTLEBLAYNEY","Breaffy House Resort Vaccination Centre",167074.714317568
"3528","CARRIGALINE","Breaffy House Resort Vaccination Centre",233626.209769589
"3529","CASHEL-TIPPERARY","Breaffy House Resort Vaccination Centre",166719.426680994
"3530","CASTLEBAR","Breaffy House Resort Vaccination Centre",5608.43031506536
"3531","CASTLECOMER","Breaffy House Resort Vaccination Centre",178142.852653604
"3532","CASTLEISLAND","Breaffy House Resort Vaccination Centre",180330.561307958
"3533","CASTLEKNOCK","Breaffy House Resort Vaccination Centre",194521.616811351
"3534","CAVAN-BELTURBET","Breaffy House Resort Vaccination Centre",108493.355720975
"3535","CELBRIDGE","Breaffy House Resort Vaccination Centre",187087.48883203
"3536","CLANE","Breaffy House Resort Vaccination Centre",165850.234639036
"3537","CLAREMORRIS","Breaffy House Resort Vaccination Centre",23340.8108775988
"3538","CLONDALKIN","Breaffy House Resort Vaccination Centre",193642.661422494
"3539","CLONMEL","Breaffy House Resort Vaccination Centre",190615.655191851
"3540","CLONTARF","Breaffy House Resort Vaccination Centre",207599.306236341
"3541","COBH","Breaffy House Resort Vaccination Centre",217233.816386275
"3542","CONAMARA NORTH","Breaffy House Resort Vaccination Centre",51091.0647189635
"3543","CONAMARA SOUTH","Breaffy House Resort Vaccination Centre",63569.5059527722
"3544","CORCA DHUIBHNE","Breaffy House Resort Vaccination Centre",193787.756709147
"3545","CORK CITY NORTH EAST","Breaffy House Resort Vaccination Centre",219993.066507703
"3546","CORK CITY NORTH WEST","Breaffy House Resort Vaccination Centre",219138.300446658
"3547","CORK CITY SOUTH CENTRAL","Breaffy House Resort Vaccination Centre",225797.674743946
"3548","CORK CITY SOUTH EAST","Breaffy House Resort Vaccination Centre",226417.641942247
"3549","CORK CITY SOUTH WEST","Breaffy House Resort Vaccination Centre",224464.164629106
"3550","DONAGHMEDE","Breaffy House Resort Vaccination Centre",209615.91479413
"3551","DONEGAL","Breaffy House Resort Vaccination Centre",110752.164071609
"3552","DROGHEDA RURAL","Breaffy House Resort Vaccination Centre",190865.964365621
"3553","DROGHEDA URBAN","Breaffy House Resort Vaccination Centre",190810.997413681
"3554","DÚN LAOGHAIRE","Breaffy House Resort Vaccination Centre",215024.616073822
"3555","DUNDALK-CARLINGFORD","Breaffy House Resort Vaccination Centre",193758.114002426
"3556","DUNDALK SOUTH","Breaffy House Resort Vaccination Centre",182897.881925109
"3557","DUNDRUM","Breaffy House Resort Vaccination Centre",206971.792413137
"3558","DUNGARVAN","Breaffy House Resort Vaccination Centre",224089.082411612
"3559","EDENDERRY","Breaffy House Resort Vaccination Centre",148334.858426157
"3560","ENNIS","Breaffy House Resort Vaccination Centre",112231.672795882
"3561","ENNISCORTHY","Breaffy House Resort Vaccination Centre",226074.325215976
"3562","ENNISTIMON","Breaffy House Resort Vaccination Centre",94810.6699148523
"3563","FERMOY","Breaffy House Resort Vaccination Centre",196969.338659047
"3564","FIRHOUSE-BOHERNABREENA","Breaffy House Resort Vaccination Centre",203961.932657563
"3565","GALWAY CITY CENTRAL","Breaffy House Resort Vaccination Centre",62776.2093918509
"3566","GALWAY CITY EAST","Breaffy House Resort Vaccination Centre",64314.0832417103
"3567","GALWAY CITY WEST","Breaffy House Resort Vaccination Centre",64871.4570218196
"3568","GLENCULLEN-SANDYFORD","Breaffy House Resort Vaccination Centre",209665.96033081
"3569","GLENTIES","Breaffy House Resort Vaccination Centre",139385.236452437
"3570","GOREY","Breaffy House Resort Vaccination Centre",231910.823536388
"3571","GORT-KINVARA","Breaffy House Resort Vaccination Centre",85222.874347352
"3572","GRAIGUECULLEN-PORTARLINGTON","Breaffy House Resort Vaccination Centre",171746.498829635
"3573","GRANARD","Breaffy House Resort Vaccination Centre",108103.875058048
"3574","GREYSTONES","Breaffy House Resort Vaccination Centre",225144.792444285
"3575","HOWTH-MALAHIDE","Breaffy House Resort Vaccination Centre",209370.376373982
"3576","KANTURK","Breaffy House Resort Vaccination Centre",181814.121976068
"3577","KELLS","Breaffy House Resort Vaccination Centre",154484.343483801
"3578","KENMARE","Breaffy House Resort Vaccination Centre",219091.308167753
"3579","KILDARE","Breaffy House Resort Vaccination Centre",169120.315050556
"3580","KILKENNY","Breaffy House Resort Vaccination Centre",185628.360642581
"3581","KILLALOE","Breaffy House Resort Vaccination Centre",114080.790085526
"3582","KILLARNEY","Breaffy House Resort Vaccination Centre",201569.280101331
"3583","KILLINEY-SHANKILL","Breaffy House Resort Vaccination Centre",216004.443364117
"3584","KILMUCKRIDGE","Breaffy House Resort Vaccination Centre",241486.449480041
"3585","KILRUSH","Breaffy House Resort Vaccination Centre",126927.543154068
"3586","KIMMAGE-RATHMINES","Breaffy House Resort Vaccination Centre",203882.422368582
"3587","KINNEGAD","Breaffy House Resort Vaccination Centre",135087.613885929
"3588","LAYTOWN-BETTYSTOWN","Breaffy House Resort Vaccination Centre",182538.897868052
"3589","LEIXLIP","Breaffy House Resort Vaccination Centre",188762.164832248
"3590","LETTERKENNY","Breaffy House Resort Vaccination Centre",154190.230577895
"3591","LIFFORD-STRANORLAR","Breaffy House Resort Vaccination Centre",145452.559560728
"3592","LIMERICK CITY EAST","Breaffy House Resort Vaccination Centre",140628.701777226
"3593","LIMERICK CITY NORTH","Breaffy House Resort Vaccination Centre",136359.57496854
"3594","LIMERICK CITY WEST","Breaffy House Resort Vaccination Centre",139450.822290164
"3595","LISMORE","Breaffy House Resort Vaccination Centre",209497.278485082
"3596","LISTOWEL","Breaffy House Resort Vaccination Centre",155961.891706889
"3597","LONGFORD","Breaffy House Resort Vaccination Centre",94978.9851567872
"3598","LOUGHREA","Breaffy House Resort Vaccination Centre",94108.7776703802
"3599","LUCAN","Breaffy House Resort Vaccination Centre",192487.582828927
"3600","MACROOM","Breaffy House Resort Vaccination Centre",214504.45880221
"3601","MALLOW","Breaffy House Resort Vaccination Centre",193246.051864773
"3602","MANORHAMILTON","Breaffy House Resort Vaccination Centre",84925.4181666084
"3603","MAYNOOTH","Breaffy House Resort Vaccination Centre",177558.286348405
"3604","MIDLETON","Breaffy House Resort Vaccination Centre",227099.724280479
"3605","MILFORD","Breaffy House Resort Vaccination Centre",170828.932569187
"3606","MOATE","Breaffy House Resort Vaccination Centre",118540.702718093
"3607","MONAGHAN","Breaffy House Resort Vaccination Centre",155906.674926051
"3608","MUINEBEAG","Breaffy House Resort Vaccination Centre",203487.209193967
"3609","MULLINGAR","Breaffy House Resort Vaccination Centre",131742.583726198
"3610","NAAS","Breaffy House Resort Vaccination Centre",188009.87648156
"3611","NAVAN","Breaffy House Resort Vaccination Centre",168404.773851376
"3612","NENAGH","Breaffy House Resort Vaccination Centre",120035.728990904
"3613","NEW ROSS","Breaffy House Resort Vaccination Centre",230441.072644211
"3614","NEWBRIDGE","Breaffy House Resort Vaccination Centre",182673.799168208
"3615","NEWCASTLE WEST","Breaffy House Resort Vaccination Centre",158427.107234271
"3616","NEWPORT","Breaffy House Resort Vaccination Centre",135158.002641651
"3617","NORTH INNER CITY","Breaffy House Resort Vaccination Centre",205377.450229016
"3618","ONGAR","Breaffy House Resort Vaccination Centre",192517.969635327
"3619","PALMERSTOWN-FONTHILL","Breaffy House Resort Vaccination Centre",196622.802017266
"3620","PEMBROKE","Breaffy House Resort Vaccination Centre",207193.771741788
"3621","PILTOWN","Breaffy House Resort Vaccination Centre",216390.589563407
"3622","PORTLAOISE","Breaffy House Resort Vaccination Centre",160918.094066136
"3623","PORTLAW-KILMACTHOMAS","Breaffy House Resort Vaccination Centre",213156.044251471
"3624","RATHFARNHAM-TEMPLEOGUE","Breaffy House Resort Vaccination Centre",202777.157799031
"3625","RATOATH","Breaffy House Resort Vaccination Centre",181608.664833674
"3626","ROSCOMMON","Breaffy House Resort Vaccination Centre",58990.2139101191
"3627","ROSCREA-TEMPLEMORE","Breaffy House Resort Vaccination Centre",146106.07672966
"3628","ROSSLARE","Breaffy House Resort Vaccination Centre",252034.341039657
"3629","RUSH-LUSK","Breaffy House Resort Vaccination Centre",199760.299264644
"3630","SHANNON","Breaffy House Resort Vaccination Centre",129040.049536359
"3631","SKIBBEREEN-WEST CORK","Breaffy House Resort Vaccination Centre",245052.247019835
"3632","SLIGO-DRUMCLIFF","Breaffy House Resort Vaccination Centre",71667.5898217846
"3633","SLIGO-STRANDHILL","Breaffy House Resort Vaccination Centre",65871.2306858038
"3634","SOUTH EAST INNER CITY","Breaffy House Resort Vaccination Centre",206335.31187174
"3635","SOUTH WEST INNER CITY","Breaffy House Resort Vaccination Centre",202580.30120108
"3636","STILLORGAN","Breaffy House Resort Vaccination Centre",210506.024179242
"3637","SWINFORD","Breaffy House Resort Vaccination Centre",24442.710000032
"3638","SWORDS","Breaffy House Resort Vaccination Centre",200681.266657182
"3639","TALLAGHT CENTRAL","Breaffy House Resort Vaccination Centre",199486.564264342
"3640","TALLAGHT SOUTH","Breaffy House Resort Vaccination Centre",198838.462329871
"3641","THURLES","Breaffy House Resort Vaccination Centre",161426.167868525
"3642","TRALEE","Breaffy House Resort Vaccination Centre",177114.024265395
"3643","TRAMORE-WATERFORD CITY WEST","Breaffy House Resort Vaccination Centre",229614.769803739
"3644","TRIM","Breaffy House Resort Vaccination Centre",160076.4553124
"3645","TUAM","Breaffy House Resort Vaccination Centre",43058.6037089026
"3646","TULLAMORE","Breaffy House Resort Vaccination Centre",126982.139152346
"3647","TULLOW","Breaffy House Resort Vaccination Centre",205138.233712668
"3648","WATERFORD CITY EAST","Breaffy House Resort Vaccination Centre",235050.734239624
"3649","WATERFORD CITY SOUTH","Breaffy House Resort Vaccination Centre",230347.240315512
"3650","WESTPORT","Breaffy House Resort Vaccination Centre",28324.6111473113
"3651","WEXFORD","Breaffy House Resort Vaccination Centre",246110.329749638
"3652","WICKLOW","Breaffy House Resort Vaccination Centre",219989.951611847
"3653","ADARE-RATHKEALE","Navan Vaccination Centre - Simonstown GAA Club",192317.449463139
"3654","ARDEE","Navan Vaccination Centre - Simonstown GAA Club",25781.2848234535
"3655","ARKLOW","Navan Vaccination Centre - Simonstown GAA Club",91833.3936571253
"3656","ARTANE-WHITEHALL","Navan Vaccination Centre - Simonstown GAA Club",43627.2004190857
"3657","ASHBOURNE","Navan Vaccination Centre - Simonstown GAA Club",17474.4856438388
"3658","ATHENRY-ORANMORE","Navan Vaccination Centre - Simonstown GAA Club",145784.001864696
"3659","ATHLONE","Navan Vaccination Centre - Simonstown GAA Club",82249.9114268915
"3660","ATHLONE","Navan Vaccination Centre - Simonstown GAA Club",98718.9915980269
"3661","ATHY","Navan Vaccination Centre - Simonstown GAA Club",75611.4164744293
"3662","BAILIEBOROUGH-COOTEHILL","Navan Vaccination Centre - Simonstown GAA Club",43757.972322055
"3663","BALBRIGGAN","Navan Vaccination Centre - Simonstown GAA Club",36190.033290729
"3664","BALLINA","Navan Vaccination Centre - Simonstown GAA Club",179115.870148512
"3665","BALLINAMORE","Navan Vaccination Centre - Simonstown GAA Club",85609.9816677635
"3666","BALLINASLOE","Navan Vaccination Centre - Simonstown GAA Club",117047.427669385
"3667","BALLYBAY-CLONES","Navan Vaccination Centre - Simonstown GAA Club",55794.5567560605
"3668","BALLYFERMOT-DRIMNAGH","Navan Vaccination Centre - Simonstown GAA Club",43699.1076724611
"3669","BALLYJAMESDUFF","Navan Vaccination Centre - Simonstown GAA Club",46152.0437498836
"3670","BALLYMAHON","Navan Vaccination Centre - Simonstown GAA Club",74118.0137325813
"3671","BALLYMOTE-TOBERCURRY","Navan Vaccination Centre - Simonstown GAA Club",139313.566287328
"3672","BALLYMUN-FINGLAS","Navan Vaccination Centre - Simonstown GAA Club",40836.3466014664
"3673","BALTINGLASS","Navan Vaccination Centre - Simonstown GAA Club",79065.739387197
"3674","BANDON-KINSALE","Navan Vaccination Centre - Simonstown GAA Club",255273.517500654
"3675","BANTRY-WEST CORK","Navan Vaccination Centre - Simonstown GAA Club",296239.877817799
"3676","BELMULLET","Navan Vaccination Centre - Simonstown GAA Club",208696.773247727
"3677","BIRR","Navan Vaccination Centre - Simonstown GAA Club",97260.4833565955
"3678","BLACKROCK","Navan Vaccination Centre - Simonstown GAA Club",53790.250449884
"3679","BLANCHARDSTOWN-MULHUDDART","Navan Vaccination Centre - Simonstown GAA Club",36162.9163402973
"3680","BORRIS-IN-OSSORY-MOUNTMELLICK","Navan Vaccination Centre - Simonstown GAA Club",93630.7880883297
"3681","BOYLE","Navan Vaccination Centre - Simonstown GAA Club",104513.323825848
"3682","BRAY EAST","Navan Vaccination Centre - Simonstown GAA Club",65233.2178040744
"3683","BRAY WEST","Navan Vaccination Centre - Simonstown GAA Club",63735.7019294135
"3684","BUNCRANA","Navan Vaccination Centre - Simonstown GAA Club",165127.428823999
"3685","CABRA-GLASNEVIN","Navan Vaccination Centre - Simonstown GAA Club",42527.6202929361
"3686","CAHIR","Navan Vaccination Centre - Simonstown GAA Club",173565.446918618
"3687","CALLAN-THOMASTOWN","Navan Vaccination Centre - Simonstown GAA Club",132358.378542947
"3688","CAPPAMORE-KILMALLOCK","Navan Vaccination Centre - Simonstown GAA Club",178018.596164549
"3689","CARLOW","Navan Vaccination Centre - Simonstown GAA Club",94509.573892669
"3690","CARNDONAGH","Navan Vaccination Centre - Simonstown GAA Club",179378.445819661
"3691","CARRICK-ON-SHANNON","Navan Vaccination Centre - Simonstown GAA Club",86851.4823743039
"3692","CARRICK-ON-SUIR","Navan Vaccination Centre - Simonstown GAA Club",142694.701767574
"3693","CARRICKMACROSS-CASTLEBLAYNEY","Navan Vaccination Centre - Simonstown GAA Club",40500.8038661209
"3694","CARRIGALINE","Navan Vaccination Centre - Simonstown GAA Club",238466.339700077
"3695","CASHEL-TIPPERARY","Navan Vaccination Centre - Simonstown GAA Club",159731.425943654
"3696","CASTLEBAR","Navan Vaccination Centre - Simonstown GAA Club",173669.24479723
"3697","CASTLECOMER","Navan Vaccination Centre - Simonstown GAA Club",112132.048170483
"3698","CASTLEISLAND","Navan Vaccination Centre - Simonstown GAA Club",244586.678151797
"3699","CASTLEKNOCK","Navan Vaccination Centre - Simonstown GAA Club",37890.710288847
"3700","CAVAN-BELTURBET","Navan Vaccination Centre - Simonstown GAA Club",80228.1409925523
"3701","CELBRIDGE","Navan Vaccination Centre - Simonstown GAA Club",39465.4448366489
