"","cso_lea","longitude","latitude"
"145","SKIBBEREEN-WEST CORK",-9.07896865044479,51.6454530406449
"146","SLIGO-DRUMCLIFF",-8.46906093544346,54.3048059974993
"147","SLIGO-STRANDHILL",-8.5317489607879,54.2678402226195
"148","SOUTH EAST INNER CITY",-6.23823989108056,53.3394116313496
"149","SOUTH WEST INNER CITY",-6.29690934642839,53.340059021961
"150","STILLORGAN",-6.20168133101433,53.284893363338
"151","SWINFORD",-8.88390715265281,53.9152244168449
"152","SWORDS",-6.2692436516557,53.4647936779739
"153","TALLAGHT CENTRAL",-6.36878704374128,53.2978998494577
"154","TALLAGHT SOUTH",-6.40389475920484,53.2563142366167
"155","THURLES",-7.8106605027248,52.6736127894932
"156","TRALEE",-9.74629087874081,52.2838920071094
"157","TRAMORE-WATERFORD CITY WEST",-7.18066580487,52.1958212365575
"158","TRIM",-6.88507398702459,53.4998105349799
"159","TUAM",-8.88332669321909,53.5202802959358
"160","TULLAMORE",-7.56977881696284,53.2820747594922
"161","TULLOW",-6.71871418141398,52.7847771357567
"162","WATERFORD CITY EAST",-7.03517107590123,52.2021566127834
"163","WATERFORD CITY SOUTH",-7.12215581171334,52.214348558857
"164","WESTPORT",-9.63587076786174,53.7515760211374
"165","WEXFORD",-6.50758007475083,52.3639113989127
"166","WICKLOW",-6.21699209857458,53.0344236551174
