"","cso_lea","longitude","latitude","prmry_cm","min_dist"
"66","DONAGHMEDE",-6.16263010471571,53.3896650082459,86.8,6695.11457845766
"67","DONEGAL",-8.2177698301738,54.6418263962033,90.7,45146.6191586414
"68","DROGHEDA RURAL",-6.34255802828147,53.7620495059209,85.4,23410.1423959064
"69","DROGHEDA URBAN",-6.35014740183551,53.7139564081448,88.5,22670.6478083177
"70","DÚN LAOGHAIRE",-6.13280940013901,53.2803667547216,94.7,6482.97027267634
"71","DUNDALK-CARLINGFORD",-6.30353914500195,54.0374855822105,84.5,9340.24959188464
"72","DUNDALK SOUTH",-6.46282125421831,53.9856145212357,84.6,5098.28892040762
"73","DUNDRUM",-6.25311052242903,53.2928679912841,96.8,2587.57701093332
"74","DUNGARVAN",-7.69740993118266,52.0590365096436,90.4,32995.8746825964
"75","EDENDERRY",-7.20978953912683,53.2790986941984,92,22270.929556438
"76","ENNIS",-8.97676290892189,52.8490737905247,91,1161.13441870312
"77","ENNISCORTHY",-6.61844356280283,52.5583740812112,91.3,6288.05376481134
"78","ENNISTIMON",-9.17211765954166,52.9944489454369,90,19754.5560166314
"79","FERMOY",-8.32837242689697,52.1623806359066,91.9,31060.2558239157
"80","FIRHOUSE-BOHERNABREENA",-6.33360989075248,53.2376089929016,91.8,9266.09942027981
"81","GALWAY CITY CENTRAL",-9.06648146629929,53.2905712865111,86.7,4720.19158075189
"82","GALWAY CITY EAST",-9.00185337918668,53.2847302061853,84.8,1529.91489682457
"83","GALWAY CITY WEST",-9.10704630855714,53.2677142456813,92.4,8093.71180511466
"84","GLENCULLEN-SANDYFORD",-6.23856675046704,53.2441800267317,87.4,6929.11228358778
"85","GLENTIES",-8.22340497243368,54.9494516633301,94.7,32724.7258908649
"86","GOREY",-6.33910260449106,52.6936801047668,87,5587.14516118137
"87","GORT-KINVARA",-8.79947951029259,53.1254327705116,92.6,23308.3897284628
"88","GRAIGUECULLEN-PORTARLINGTON",-7.10376439513823,52.9748173449568,90.6,13928.1594854758
"89","GRANARD",-7.59614467608671,53.8041000174052,92.2,16031.1342432744
"90","GREYSTONES",-6.08057586127346,53.1047658386215,92.4,3577.28655658939
"91","HOWTH-MALAHIDE",-6.15390068976021,53.4180370857686,92.8,5176.34943407705
"92","KANTURK",-8.98349618355499,52.2188570679915,94.7,50062.2866406117
"93","KELLS",-6.89675772115985,53.7539677124216,92.1,16676.9487835433
"94","KENMARE",-9.85388130852714,51.9124700859396,92.6,38455.4421249154
"95","KILDARE",-6.94722476592008,53.1765479374023,87.8,21314.5375451591
"96","KILKENNY",-7.2694391194979,52.6659893063558,90,3008.08802362119
"97","KILLALOE",-8.64260400091598,52.8839076455081,90.9,23046.7687550938
"98","KILLARNEY",-9.43675168872862,52.0382396453092,83.9,33048.9082930968
"99","KILLINEY-SHANKILL",-6.14347933680545,53.2345444235238,96.5,9421.71051478366
"100","KILMUCKRIDGE",-6.38722588294831,52.5113794200633,94.2,13087.6771151539
"101","KILRUSH",-9.34730951691641,52.7069215206786,95.2,28441.7507965412
"102","KIMMAGE-RATHMINES",-6.28779830717396,53.3185582664007,91.7,2931.34535578857
"103","KINNEGAD",-7.23023229011824,53.6050890769952,91.6,36760.6353028161
"104","LAYTOWN-BETTYSTOWN",-6.47622508475405,53.7128881513434,83.5,14590.14403255
"105","LEIXLIP",-6.49755944954043,53.3721642797011,90.1,10166.2210427402
"106","LETTERKENNY",-7.80722100004381,54.9516645096792,85.5,6128.79590977753
"107","LIFFORD-STRANORLAR",-7.75976079755371,54.8268749434291,83.2,15255.3555425102
"108","LIMERICK CITY EAST",-8.54494217944825,52.6518312869841,89.9,6206.42744987946
"109","LIMERICK CITY NORTH",-8.65126782923677,52.6715174144576,91.6,2436.40720888575
"110","LIMERICK CITY WEST",-8.71683983714655,52.6318141235728,89.3,5854.03218163791
"111","LISMORE",-7.89369620329625,52.1460823987074,94.7,25700.0154890773
"112","LISTOWEL",-9.55570879921331,52.4572747368191,97.2,21963.3992638025
"113","LONGFORD",-7.80379964724994,53.7507612485504,82.4,2474.55713287077
"114","LOUGHREA",-8.41679142471852,53.1553718961236,89.8,35750.1096579094
"115","LUCAN",-6.45191681008599,53.3475136000982,83.1,6846.44617237929
"116","MACROOM",-8.96027389813361,51.9251807749935,93.5,34173.1195454365
"117","MALLOW",-8.70112647012526,52.1392773454892,91.6,31480.6881015438
"118","MANORHAMILTON",-8.19112032208467,54.2974458811648,90.1,17996.8604273254
"119","MAYNOOTH",-6.67782255733272,53.3659041549706,81.2,17789.3830292989
"120","MIDLETON",-8.08130110590932,51.9279998530322,88.4,26694.2607583865
"121","MILFORD",-7.74287950022322,55.1100082384122,89.1,16671.4210051808
"122","MOATE",-7.55235283482704,53.4793452972051,92.7,14761.2644953979
"123","MONAGHAN",-6.97646963440238,54.2872840305441,81.2,23562.8536053493
"124","MUINEBEAG",-6.91633430831979,52.6589798896973,95.6,17394.6320516477
"125","MULLINGAR",-7.31688823110386,53.5246966549304,85.5,30675.283649444
"126","NAAS",-6.60375899309179,53.2178052809501,91.2,3848.203266918
"127","NAVAN",-6.70671995159733,53.6428451381337,84.3,3480.53079885153
