"CSO_LEA","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","p_edu_NoFormal","p_edu_Primary","p_edu_UpperSecondary","p_edu_Apprenticeship","p_edu_HonoursBachelor","p_edu_Postgraduate","p_health_VeryBad","p_health_Bad","p_health_Fair","p_health_Good","p_health_VeryGood","Wt_accessibility_Initial_Vacc","accessibility_Pharmacy10","accessibility_GP10","Primary_Vax_Rate"
"CARLOW",0.106129543,0.585041665,0.132559685,0.098410102,0.077859005,0.034697218,0.131042008,0.310529187,0.164429896,0.207855974,0.151445717,0.004932503,0.021028037,0.111976462,0.342852198,0.5192108,1.051969786,7.660676308,3.52700792893577,85.6
"CARNDONAGH",0.12610013,0.485283509,0.148391286,0.139013129,0.101211946,0.082016761,0.245363374,0.27050419,0.124330265,0.164583047,0.113202363,0.003791856,0.016859176,0.107455373,0.329366468,0.542527126,0.006835226,9.800270062,3.87353263878117,74.5
"CARRICK-ON-SHANNON",0.107117617,0.526299849,0.142655225,0.128319031,0.095608279,0.047638604,0.118069815,0.311293634,0.149281314,0.209445585,0.164271047,0.002515934,0.018282456,0.110114056,0.322375042,0.546712513,2.130611459,7.949902488,2.50785748629106,85.6
"CARRICK-ON-SUIR",0.113040243,0.493024121,0.167979165,0.128170149,0.097786321,0.060373929,0.1661906,0.384056089,0.134121008,0.16294469,0.092313685,0.006011609,0.020263267,0.108675373,0.316956882,0.548092869,0.264243449,10.74786105,6.66271218983778,95.5
"CARRICKMACROSS-CASTLEBLAYNEY",0.119529827,0.549528172,0.137078528,0.109044755,0.084818719,0.076523382,0.150330657,0.319437884,0.146197449,0.195914029,0.111596599,0.003278394,0.014460861,0.093366866,0.313378542,0.575515337,2.338181366,19.47337691,4.3043180660086,89
"CARRIGALINE",0.123528634,0.566161883,0.148293876,0.100052903,0.061962703,0.018667715,0.065566254,0.299600445,0.124975437,0.262461518,0.22872863,0.002309651,0.009868507,0.065483846,0.289624944,0.632713052,0.416565738,32.65361043,15.4739801778245,94.4
"CASHEL-TIPPERARY",0.107607001,0.514338936,0.156385375,0.12476174,0.096906949,0.049619671,0.146824695,0.387581815,0.132053777,0.174951353,0.108968689,0.003499531,0.017245111,0.103651057,0.33007432,0.545529981,0.186250972,22.92379328,8.81962456634133,91.3
"CASTLEBAR",0.103808929,0.513307836,0.16109897,0.129995317,0.091788948,0.044778444,0.123354879,0.331905615,0.127949537,0.214547154,0.157464372,0.002709938,0.016094385,0.094847814,0.328299018,0.558048845,4.013550926,26.50446334,9.69867548100815,91.9
"CASTLECOMER",0.11237727,0.507198453,0.163249733,0.124027064,0.093147479,0.047915567,0.153562005,0.324960422,0.133192612,0.207598945,0.132770449,0.003514203,0.013429277,0.087394888,0.312973267,0.582688365,2.077147939,16.7109943,8.46282504298402,97.2
"CASTLEISLAND",0.107682793,0.501305662,0.160940077,0.137575591,0.092495877,0.04934257,0.169659268,0.336349498,0.145624205,0.18535275,0.113671709,0.003205862,0.011506755,0.089592398,0.32768491,0.568010076,0.575108798,19.23953605,6.7832289916095,95.3
"CASTLEKNOCK",0.102601745,0.588396814,0.131147541,0.111845146,0.066008754,0.025181898,0.070333867,0.257701636,0.09081996,0.276949275,0.279013365,0.002429775,0.01208075,0.0738697,0.299407317,0.612212458,0.38236319,35.71370527,16.1103133740513,88.9
"CAVAN-BELTURBET",0.109843743,0.541011731,0.145314601,0.11814346,0.085686465,0.068925683,0.154793993,0.294570658,0.175683481,0.180785522,0.125240662,0.004211909,0.015688396,0.105220449,0.325244407,0.549634839,1.580723156,20.99446815,7.35155860898586,83.1
"CELBRIDGE",0.117036285,0.580046273,0.153828791,0.103662322,0.04542633,0.029726516,0.068100746,0.286239325,0.117717004,0.269592476,0.228623933,0.002188882,0.010123581,0.07793333,0.312690957,0.59706325,0.117083214,12.05444608,5.3382512100866,97.3
"CLANE",0.126601231,0.577274996,0.143154217,0.094243886,0.05872567,0.044721345,0.129470001,0.330886746,0.135188188,0.205428011,0.15430571,0.002867456,0.013156563,0.083797187,0.316938232,0.583240563,0.218043778,4.816686658,6.18734546006906,91.3
"CLAREMORRIS",0.106487619,0.510156952,0.1516914,0.126673224,0.104990805,0.04870185,0.144493467,0.370609197,0.12922111,0.180807738,0.126166638,0.003477505,0.014018692,0.100086938,0.346627545,0.535789321,0.216880998,22.77026565,10.0585048374395,89
"CLONDALKIN",0.111828815,0.610993341,0.124872185,0.094221513,0.058084146,0.04345301,0.136430834,0.354276663,0.159662091,0.174868004,0.131309398,0.004170001,0.016658944,0.097405333,0.334358283,0.547407439,2.728928662,38.84498805,18.3522059488623,80
