CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Weighted_Access_Initial_Vacc_Center,Access_Pharmacies,Access_GPs,Index22_rel,UNEMPM22,UNEMPF22,p_age_12to17_sex_female,p_age_12to17_sex_male,p_age_18to54_sex_female,p_age_18to54_sex_male,p_age_55to64_sex_female,p_age_55to64_sex_male,p_age_65to70_sex_female,p_age_65to70_sex_male,p_age_71plus_sex_female,p_age_71plus_sex_male,p_sex_female,p_sex_male
BANTRY-WEST CORK,0.0939045312342315,0.441467352911495,0.191038449894036,0.156423453426178,0.11716621253406,0.0469020246210194,0.154847899074168,0.313053209889104,0.146708719096551,0.191575948723166,0.146912198595991,0.00410857117881026,0.0142925827177761,0.104069233795183,0.338563748415578,0.538965863892653,4.47094705106575,13.9716362544618,11.904307259268,-0.379022086306199,6.51994042694026,6.77827684769294,0.04435361792310021,0.049550913311131296,0.22333232414976284,0.21813502876173177,0.09723483701685337,0.09380361287718236,0.07513371682309013,0.08128973660308811,0.062165707942274696,0.055000504591785244,0.5022202038550813,0.49777979614491874
BELMULLET,0.088393616016621,0.42317499291717797,0.173009727075267,0.178298234016432,0.137123429974502,0.0830299878661813,0.266770670826833,0.311839140232276,0.114231235916103,0.137978852487433,0.0861501126711735,0.00562163923741241,0.0220791917875183,0.148036499918527,0.345934495681929,0.478328173374613,0.00689520475078253,9.76506183916576,6.94704587137404,-10.4217281304358,12.810773480663,8.59077443927211,0.04466899612805742,0.043724619888563604,0.21380678062139957,0.20936821229577865,0.08612711304183587,0.08688261403343092,0.08574936254603834,0.0925488714703938,0.07111153083388422,0.06601189914061763,0.5014637831712154,0.4985362168287846
BIRR,0.10649701715138,0.506058911260254,0.157485085756898,0.131991051454139,0.0979679343773304,0.0635696821515892,0.166259168704156,0.351419973669362,0.137577581342863,0.16795185254843,0.1132217415836,0.00418053727645738,0.0174963226755439,0.100719981419834,0.338894480142448,0.538708678485716,1.12500644334375,27.6833699462401,7.31024032906335,-4.99321991079166,9.88422575976845,9.02461257976299,0.04889075316927666,0.05760626398210291,0.2533090976882923,0.25274981357196125,0.07648210290827741,0.08100298284862044,0.0677199850857569,0.0642710663683818,0.05075503355704698,0.04721290082028337,0.49715697240865026,0.5028430275913497
BLACKROCK,0.0913057949040346,0.519655338190156,0.153877445360748,0.112273954365593,0.122887467179468,0.00944762864521005,0.029161680418215,0.17270265163444,0.052591799458336,0.334697990804308,0.401398249039491,0.00207582880517736,0.00989071371878625,0.0688686733011783,0.270712497710483,0.648452286464375,0.579629534279216,35.253067699744,11.8394104428561,10.7783243252003,5.56280393784842,5.08838383838384,0.042860840945231314,0.0484449539588033,0.2684442143411856,0.2512111238489701,0.0843164084168485,0.0695610369439,0.06046374024629267,0.05181021411930032,0.07373987648385785,0.04914759069561037,0.5298250804334159,0.4701749195665841
BLANCHARDSTOWN-MULHUDDART,0.136427332176698,0.69631656212465,0.0856799679701054,0.049713065527826,0.0318630722007207,0.039661639134945303,0.090415768893145,0.311627164631713,0.161679035990743,0.220892187375309,0.175724203974144,0.00343347639484978,0.0139628040057225,0.08,0.330071530758226,0.572532188841202,1.15545371262339,68.8097890459077,21.6908333085453,0.200666125820332,9.94731672470756,11.0594419733118,0.06666221807019886,0.0697651141064994,0.35806752969438144,0.33824903243026827,0.0423728813559322,0.04330708661417323,0.027025223541972506,0.02268784198585346,0.01798345122113973,0.013879620979580943,0.5121113038836247,0.4878886961163753
BORRIS-IN-OSSORY-MOUNTMELLICK,0.118837220532136,0.527693273455985,0.152542372881356,0.115843353131489,0.0850837799990342,0.0498076923076923,0.169038461538462,0.371730769230769,0.138846153846154,0.166730769230769,0.103846153846154,0.00338063603129053,0.0163921537796297,0.0989818782184834,0.320059750776367,0.561185581194229,1.01521401667353,16.4464103769543,8.7535109834639009,-3.71354735128362,7.76515151515152,8.6197778952935,0.05949104254189,0.05934617799024579,0.26988265971316816,0.2578106137428171,0.07528127867110918,0.07726109421024675,0.056883480612294174,0.05895987251919455,0.04650152107779226,0.03858225892124197,0.5080399826162538,0.4919600173837462
BOYLE,0.101677629901586,0.474427617153638,0.167661006577941,0.148131150884708,0.108102595482127,0.0588054502612437,0.14691117713349,0.342075607007479,0.145374449339207,0.177748181538777,0.129085134719803,0.00440849169662729,0.0183187810306454,0.11402157164869,0.338169833932546,0.525081321691491,3.10421570534202,9.53351979528678,9.870628082151,-4.02516481904499,10.2695551513147,9.42892358258012,0.050277905257253584,0.05139972464433226,0.23935546377033298,0.23507215338330528,0.0830656264341441,0.08459538014379685,0.07225536688593137,0.0758757839987762,0.057059813370047424,0.05104278211207996,0.5020141757177095,0.49798582428229055
BRAY EAST,0.0852366538249862,0.526141992294992,0.146326362135388,0.129334067143643,0.112960924600991,0.0444063776518645,0.125708261958097,0.269996046910001,0.130056660956648,0.221241270259586,0.208591382263803,0.00469172932330827,0.017203007518797,0.10796992481203,0.342015037593985,0.52812030075188,0.0481085620382619,2.6750138604954,1.37640885026024,-0.533499244939062,10.7158836689038,8.0213903743315509,0.03907539900935608,0.04616125481563016,0.27063841496973035,0.2555035773252614,0.0763621353880022,0.0699642267473858,0.07058337919647771,0.058750687947165654,0.0633599339570721,0.04960099064391855,0.5200192625206385,0.4799807374793616
BRAY WEST,0.112948022748314,0.536106335140854,0.16856235947626,0.10864964951726,0.0737336331173125,0.0329048843187661,0.0996143958868895,0.291131105398458,0.126478149100257,0.238688946015424,0.211182519280206,0.00354590282010083,0.0129647071859937,0.0859327386558812,0.300404454540418,0.597152196797607,0.848560911050037,13.7677290669664,6.1469404471838,2.47902589008757,7.92399434000404,7.99566630552546,0.057267557201428385,0.055680465546885334,0.2866684301018384,0.249437905039016,0.08689326808623198,0.08166909139002777,0.05753207247718556,0.051117577040074066,0.04119825419918,0.032535378918132525,0.5295595820658643,0.4704404179341357
BUNCRANA,0.131118979373911,0.519923565447086,0.150621030742427,0.111335918619682,0.0870005058168943,0.0733526268922529,0.210040071237756,0.276046304541407,0.127337488869101,0.182769367764915,0.130454140694568,0.00389014958551382,0.0154216644282869,0.106793868383272,0.313157041633863,0.560737275969064,0.171762543719771,25.6439215882647,2.06908107927338,-5.75458538961224,11.0453991998608,9.66773847802787,0.06474456246838645,0.06637441690552465,0.26257517001067837,0.2573483954364076,0.07632214915978194,0.07429888158264486,0.05597706963412578,0.05535884898555612,0.04529871297701343,0.041701792839880854,0.504917664249986,0.49508233575001404
